Sentence,Paraphrase,Formal_10,Formal_15,Formal_20,Informal_10,Informal_15,Informal_20
The team responded to the changes in the next game the same evening on 19 February .,"The team reacted to the changes in the next game on 19 February, which was the same evening, by responding to the changes.","The changes were reflected in the team's response to the changes in their next game on 19 February, which was the same evening.","In the next game on 19 February, the team reacted to the changes by announcing that they were affecting the following game.","In the next game on 19 February, the team reacted to the changes by announcing on the same evening that the following game would be contested.","During the game on 19 February night, players greeted the team in the next game, and they acted on the changes.","During practice 4-0 home against Borussia Dortmund on 19 February, the team reacted to the changes in the following game on the same evening on 19. February.","Immediately after game 19 February, the team celebrated the changes in the crowd's following match."
"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .","Nashua Silver Knights, the collegiate team of the city, is part of a summer league team that participates in a current summer league.","The Nashua Silver Knights, the collegiate team of the city, is a non-renewable team that participates in upcoming summer leagues.","The Nashua Silver Knights, the collegiate mascot of the city, is a non-regular summer league team that is also based in the Nachua area.","The Nashua Silver Knights, the collegiate masuch as a part of 'a current summer league of the city, is the Naha Silverstein of Nadu.","One team hailing from the city, the Nashua Silver Knights, is a summer league summer team that participates in collegiate sports.","One team hailing from the city, the Nashua Silver Knights, is a summer league summer team that participates in collegiate sports.","One team hailing from the city, the Nashua Silver Knights, is a summer league summer team that participates in collegiate sports."
"The `` Fallbeil '' was used for the last time in West Germany in 1949 , in East Germany in 1966 .","West Germany used the  Fallbeil '' for the last time in 1949, while East Germany used it in 1966.","In 1949, West Germany used the  Fallbeil '', and in 1966, East Germany did the same.","In 1949, West Germany used the  Fallbeil '' as its final performance, and in 1966, East Germany did the same in East Germania.","In 1949, West Germany used the  Fallbeil '' as its final form, while in 1966, East Germany reverted to it in East German.","West Germany employed chanting music known as the  Fallbeil '' for the final time in 1949, while East Germany recited it again in 1966.","19 years ago today (2017) The  Fallbeil '' was used for music in West Germany, in 1966 East Germany.","19 years ago today (2017) The famous song ""The  Fallbeil"" was used for the last time in West Germany, and in 1966 it was also used in East Germany."
The canal is one of the oldest navigable canals in Europe and in Belgium .,The canal is among the oldest navigable canals in Europe and Belgium.,"The canal is among the oldest in Europe and Belgium, and it is currently the longest canal in the country.","In Europe and Belgium, the canal is one of the oldest navigable canals and is also one the earliest in the country.","In both Belgium and Europe, the canal is among the oldest navigable canals in the country and among Europe's.","One of Europe's all-time navigable canals, the canal is located in Belgium and is one of the oldest in the world.","One of Europe's all-time busiest canals, the canal in Belgium, is one of the oldest.","One surviving canal open today (May 2017) in Belgium, it is recognized as one of Europe's oldest canals."
In 2009 he moved back to Philadelphia and lives in New York City today .,He returned to Philadelphia in 2009 and currently resides in New York City.,He moved to New York City in 2009 and has been relocating to Philadelphia ever since.,He moved to New York City in 2009 and has been relocating to Philadelphia ever since.,He moved to New York City in 2009 and has been relocating to Philadelphia ever since.,"Philadelphia became his hometown in 2009, and he currently lives in New York City.","Philadelphia welcomed him back in 2009, and he currently lives in New York City.","Philadelphia welcomed him back in 2009, and he currently lives in New York City."
"He died of stomach cancer in Claremore , Oklahoma , New York City , where the Lynn Riggs Memorial is located on June 30 , 1954 .","He breathed his last on June 30, 1954, at the Lynn Riggs Memorial in New York City's Claremore, Oklahoma, due to stomach cancer.","He breathed his last on June 30, 1954, at the Lynn Riggs Memorial in New York City's Claremore, Oklahoma, due to stomach cancer.","He passed away due to stomach cancer in Claremore, Oklahoma, New York City - where the Lynn Riggs Memorial is situated – on June 30. 1954, in the city.","In Claremore, Oklahoma, New York City, where the Lynn Riggs Memorial is located, he passed away on June 30, 1954, from stomach cancer.","Entunnel man died of stomach cancer on 30 June 1954 in Claremore, Oklahoma - New York City – where the Lynn Riggs Memorial is located.","Entunnel man Hum Hum died von Stomach Cancer on 30 June 1954 in Claremore, Oklahoma - New York City. The Lynn Riggs Memorial is located in the city.","Entunist cancer patient passed away on 30 June 1954 at New York City's Lynn Riggs Memorial Hospital in Claremore, Oklahoma."
"Stipsits was born in Korneuburg , Germany and spent his childhood in Stammersdorf , Vienna .","Stipsits was born in Korneuburg, Germany, but spent his early life in Stammersdorf, Vienna.","Stipsits was a native of Korneuburg, Germany, and spent his early years in Stammersdorf – Vienna.","Korneuburg, Germany, was the birthplace of Stipsits, who spent his early years in Stammersdorf. in Vienna.","In Stipsits' hometown of Korneuburg, Germany, and in Stammersdorf - Vienna, Austria, his place of birth was Stiesdorf.","Stipsits hails from Korneuburg, Germany and raised in Stammersdorf. in Vienna. He was born in 1939 in Korneburg in Germany.","Stipsits hails from Korneuburg, Germany, living in Vienna's Stammersdorf ward, and grew up in StammERSdorf in the city.","Stipsits hails natives of Korneuburg, Germany, and grew up in Stammersdorf. in Vienna."
The Keita dynasty ruled pre-imperial and imperial Mali from the 12th century into the early 17th century .,"Mali was under the control of the Keita dynasty, a ruling family that covered both pre-imperial and imperial regions, from the 12th century to the early 17th century.","From the 12th century to the early 17thcentury, the Keita dynasty governed Mali, which was previously an imperial and pre-imperial state, from the 11th to 16th centuries.","From the 12th century to the early 17thcentury, the Keita dynasty governed Mali, which was previously an imperial and pre-imperial state, from the 11th to 16th centuries.","From the 12th century to the early 17thcentury, the Keita dynasty governed Mali, which was previously an imperial and pre-imperial state, from the 11th to 16th centuries.","Medical power extended in Mali during the 12th to early 17th centuries, with the Keita dynasty ruling over pre-imperial and imperial countries from the early 12TH century to the beginning of the 17THcentury.","Medical power extended beyond India in the 12th century with the Keita dynasty, who reigned over Mali from the early 16th Century until the end of the 17thcentury.",Medical power extended beyond India in 12th century China to Mali in the early 17th Century under the Keita dynasty from the 12TH century to the beginning of the 17TH Century.
"`` Angel Eyes '' is a 1946 popular song composed by Matt Dennis , with lyrics by Earl Brent .","Matt Dennis composed Angel Eyes, a popular song from 1946, with lyrics by Earl Brent.","The 1946 popular record, Angel Eyes, was written by Matt Dennis and penned by Earl Brent, and is a popular 1946 hit with 78 million copies sold at the time.","In 1946, Matt Dennis wrote and penned a popular popular anthem called ""Angel Eyes,"" with lyrics by Earl Brent.","In 1946, Matt Dennis wrote and penned a popular popular antong called "" Angel Eyes"", with Earl Brent providing the lyrical alterations.","Angel Eyes '' released in 1946 by Matt Dennis, a popular song with lyrics by Earl Brent. The song was written by BB King in the US and became popular on German radio in America.","Angel Eyes (1946 song) is a popular song written by Matt Dennis and performed by Earl Brent. It was written in 1946 and written with lyrics by Jeff Lynn Lunenburg, with the song Angel eyed by Lynn Mattenden.","Angel Eyes (1946 song) is a popular song written by Matt Dennis and performed by Earl Brent. It was written in 1946 and written with lyrics by Jeff Lynn Lunenburg, with the song Angel eyed by Lynn Mattenden."
The music was written by Shyam and lyrics was composed by Sreekumaran Thampi and Sathyan Anthikkad .,Shyam was the writer of the song and the lyrics were written by Sreekumaran Thampi and Sathyan Anthikkad.,"Shyam was the emce for the composition, and the lines for this poem were penned by Sreekumaran Thampi and Sathyan Anthikkad.","Shyam was the emce for the composition, and the lines for its lyrics were penned by Sreekumaran Thampi and Sathyan Anthikkad.","Shyam was the em n a sri khan, whereas lyric ennobbery was done by scribe Sreekumaran Thampi and vocabulaire satirical writer Sathyan Anthikkad.","Songwriting: Shyam composed the music, lyrics were written by Sreekumaran Thampi, with lyrics by Sathyan Anthikkad.","Songwriting: Shyam composed the music, lyrics were written by Sreekumaran Thampi, with lyrics by Sathyan Anthikkad.","Songwriting: Shyam composed the music, lyrics were written by Sreekumaran Thampi, with lyrics by Sathyan Anthikkad."
"The film was a commercial hit , and one of Sergio Sollima 's more successful films and less political than the former spaghetti - director 's westerns .","The movie was a commercial success and one of Sergio Sollima's more successful films, despite being more politically charged than the previous spaghetti-filled westerns produced by other directors.","The film, which was a commercial success, was one of Sergio Sollima's more successful and less political films than the former spaghetti westerns produced by the same directors.","The film, which was a commercial success, was one of Sergio Sollima's more successful and less political films than the former spaghetti westerns produced by the same directors.","It was a successful film, both commercially successful and less politically successful than the spaghetti westerns of director Sergio Sollima.","Sergio Sollima produced a film that exceeded all previous political successes in film, making it marketed more profitably and less political than the westerns created by other filmmakers.","One Sergio Sollima's commercial success made it a film that exceeded all previous political successes in the film industry, thanks to the success of Sergilo'Solidaro.","One Sergio Sollima's commercial hit film, the movie was a commercial success and ranked less politically oriented than the spaghetti westerns made by other director' s."
Kabir asks Sarika to reveal his plan to end Ranvir 's game .,Kabir requests Sarika to disclose his plan to end Ranvir's game.,Kabir requests Sarika to disclose his plan to end Ranvir's game.,Kabir asks Sarika for a rebuttal and to reveal his intention to end Ranvir's game.,Kabir asks Sarika for a rebuttal and to reveal his intention to end Ranvir's game.,"Ranvir won the game, according to Kabir's request to Sarika. Kabur demands her to share Sarisa'Sariva with him if she wants to end the match.",Kapil Ka Immediately calls Sarika to announce his plan to end Ranvir's game.,Kapil Ka Immediately calls Sarika to announce his plan to end Ranvir's game.
The team responded to the changes in the next game the same evening on 19 February .,"The team reacted to the changes in the next game on 19 February, which was the same evening, by responding to the changes.","The changes were reflected in the team's response to the changes in their next game on 19 February, which was the same evening.","In the next game on 19 February, the team reacted to the changes by announcing that they were affecting the following game.","In the next game on 19 February, the team reacted to the changes by announcing on the same evening that the following game would be contested.","During the game on 19 February night, players greeted the team in the next game, and they acted on the changes.","During practice 4-0 home against Borussia Dortmund on 19 February, the team reacted to the changes in the following game on the same evening on 19. February.","Immediately after game 19 February, the team celebrated the changes in the crowd's following match."
"Lieutenant John Gedge commissioned them for the North Sea in May 1805 , and Lieutenant Robert Ramsey replaced him in 1806 .","Lieutenant John Gedge commissioned them to sail in the North Sea in May 1805, and Lieutenant Robert Ramsey took over in 1806.","In May 1805, Lieutenant John Gedge enlisted them in the North Sea, and they were commissioned in May 1860, but in 1806 they had Lieutenant Robert Ramsey to fill in, after being re-commissioned by Lieutenant Gledge.","In May 1805, Lieutenant John Gedge enlisted them in the North Sea, and they were commissioned in May 1860, but in 1806 they had Lieutenant Robert Ramsey to fill in, after being re-commissioned by Lieutenant Gledge.","In May 1805, Lieutenant John Gedge enlisted them in the North Sea, and they were commissioned in May 1860, but in 1806, they had Lieutenant Robert Ramsey as their replacement.","Lieutenant John Gedge deployed them to the North Sea in May 1805, and Lieutenant Robert Ramsey succeeded him in 1806.","Lieutenant John Gedge deployed in the North Sea with them in May 1805, and Lieutenant Robert Ramsey succeeded him in 1806.","Lieutenant J. Gedge deployed troops in the North Sea in May 1805, and Lieutenant Robert Ramsey succeeded him in 1806."
Emma Townshend is represented by David Godwin at DGA Associates .,"David Godwin, of DGA Associates, is the legal representative for Emma Townshend, who is represented by Emma Townshend.","David Godwin, of DGA Associates, is the legal representative for Emma Townshend, who is currently undergoing a. consultation.","At DGA Associates, David Godwin is the legal representative for Emma Townshend, who is also a solicitor for DGC Associates.","At DGA Associates, David Godwin is the representative for Emma Townshend, who is also a valued member of the firm.",David Godwin representing Emma Townshend at DGA Associates.,David Godwin representing Emma Townshend at DGA Associates.,David Godwin representing Emma Townshend at DGA Associates.
"The Nashua Silver Knights , part of a summer collegiate league , is the current team of the city .","Nashua Silver Knights, the current team of the city, is a summer collegiate league in which they compete, and they are based within the city.","The Nashua Silver Knights, the current collegiate team of the city, is a non-college team that is also based in the New Haven area and competes in upcoming summer leagues.","The Nashua Silver Knights, the current federation of the city, is a summer collegiate league that also includes the Nawhai Blackhawks.","The Nashua Silver Knights, the current federation of the city, is a non-college team that the two cities have been accustomed to, and is also presently vying for resembling the Nawyons in collegiate baseball.","One team hailing from the city is the Nashua Silver Knights, a summer collegiate league team that competes in the summer.","One team hailing from the city is the Nashua Silver Knights, a summer collegiate league team that competes in the summer.","One team hailing from the city is the Nashua Silver Knights, a summer collegiate league team that competes in the summer."
"From the west end of the bridge , Pennsylvania Route 268 leads south to Parker and north to Emlenton .","Pennsylvania Route 268 travels from the west end of the bridge to south across the city's south end point (Pennis Pass) and north across the city to Emlenton on Route 268 (Sinterlee, part of the Delaware en route).","To reach Emlenton in the north and south to Parker, take Pennsylvania Route 268 south from the west end of the bridge.","To reach Emlenton in the north and south to Parker, take Pennsylvania Route 268 south from the west end of the bridge.","To reach Emlenton in the north and south to Parker, take Pennsylvania Route 268 south from the west end of the bridge.","Pennsylvania Route 288, running from the west end of the bridge, runs south to Parker and north to Emlenton, passing through the city of Emmettville.","Pennsylvania Route 288, running from west end of bridge, south to Parker, and north to Emlenton, is a freeway route.","Penn State Route 288, running from the west end of the bridge, runs southward to Parker and northwards to Emlenton."
"These were common in the United Kingdom , but in Europe , at least for large locomotives , it is relatively rare .","In the United Kingdom, it was typical to see these types of locomotives, but in Europe, they are not often seen, particularly on large locomotives.","In the United Kingdom, it was typical to see these types of locomotives, but in Europe, they are not often seen, particularly on large locomotive engines.","In the United Kingdom, it was typical to see these types of locomotives, but in Europe, they are not often the case, particularly for large ones like those in the railway industry.","In the United Kingdom, it was typical to see these types of locomotives, but in Europe, they are not often the case, particularly for large-scale ones.",United Kingdom commonplace.,"United Kingdom posed a regular problem with these vehicles, whereas in Europe, they are not common on large locomotives, at least for European models.","United United U.S locomotives exhibited – pictured —, a typical example, while European models are surprisingly rare for large locomotive numbers."
"Alston was born on December 21 , 1965 in Oxon Hill , Maryland . He attended Oxon Hill High School in New Haven , Connecticut .","Alston was born on December 21, 1965, in Oxon Hill, Maryland, and attended Oxon Hill High School in New Haven, Connecticut.","Alston was a student at Oxon Hill High School in New Haven, Connecticut, where he was born on December 21, 1965, in Oxen Hill.","At the age of five, Alston was born in Oxon Hill, Maryland on December 21 1965. He studied at Oxen Hill High School in New Haven, Connecticut.","At the age of 12, Alston was born in Oxon Hill, Maryland on December 21 1965. He studied at Oxen Hill High School in New Haven, Connecticut.","Alston graduated from Oxon Hill High School in New Haven, Connecticut, where he was born on December 21, 1965, in Oxen Hill.","Alston graduated from Oxon Hill High School in New Haven, Connecticut. He was born on December 21, 1965, in Oxen Hill. Maryland ; he is now a resident of the town of Oxoon hill - the birthplace of Alstone.","Alston graduated high school from Oxon Hill High School in New Haven, Connecticut. He was born on December 21 a day after his birth in Oxen Hill. Maryland ; he went on to high School from his home town of Oxoon hill straddlefield in Weston, Maryland and was able to play football for the first time since 1963."
"Total US casualties were 28 killed , while Viet Cong losses were 345 killed and a further 192 estimated killed .","The US suffered a total of 28 casualties, with the Viet Cong losing 345 soldiers and 192 men, and in the USSR losing 192 soldiers.","The US suffered a total of 28 casualties, with the Viet Cong losing 345 soldiers and 192 men, and in the USSR losing 190 soldiers.","The US suffered a total of 28 casualties, with the Viet Cong losing 345 soldiers and 192 men, and in the USSR losing 195 soldiers.","The US suffered a total of 28 casualties, with the Viet Cong suffering 345 deaths and approximately 192 fatalities.","Viet Cong losses amounted to 345 deaths and around 192 fatalities, while the US alone accounted for 28 fatal fatalties.",Viet Cong losses rose up again resulting in 345 deaths and an additional 192 people were estimated to have died.,"Viret collided with U.S. troops resulting in 28 US deaths, with 345 fatalities reported and 192 estimated casualties."
"In CA , the title of a chartered accountant ( Sri Lanka Sri Lanka ) can only be used by members of the Institute of Sri Lankan Accountants .",Only Institute of Sri Lankan Accountants members are allowed to use the title of chartered accountant (Sri Lankan) in CA.,"Only Institute of Sri Lankan Accountants members are permitted to use the designation of chartered accountant (Sri Lanka) in CA, which is restricted to Srilankan Accountancy Association (ISA) members.",Only Sri Lankan chartered accountants (ISC or Sri Sri) members of the Institute of SriLankan Accountants are permitted to use the designation of charter in CA.,"In the state of CA, only Institute of Sri Lankan Accountants members are permitted to use the designation of a chartered accountant (Sri Lanka) in Sri Lanark CA (CA).",Members exclusively belong to Institute of Sri Lankan Accountants. Institute members in CA are allowed to use the title Sri Srilanakischer Chartree ( Sriakhandi) as chartered accountant in Sri Lanka.,Members exclusively allowed to use chartered accountants (pictured) in Sri Lanka by the Institute of SriLankan Accountants in CA (CA) if they are members of the SriLeapser Association.,"Members exclusively allowed to nominate themselves CC (SC) – Sri Lankan Accountants — in CA if they belong to Institute of SriLankan Accountancies (ISIA) in Srilanke, Srinagara."
"Simyo belongs to the Dutch telecommunications group KPN , after acquisition of the remainder of E-Plus on March 14 .","The remaining E-Plus shares were acquired by Simyo, a subsidiary of KPN from the Netherlands, on March 14, following the acquisition of the rest of the E-Plus.","The remaining E-Plus portion of Simyo was acquired by KPN, a Dutch telecommunications company, on March 14, following the company's acquisition of the remaining shares.","The remaining E-Plus portion of Simyo was acquired by KPN, a Dutch telecommunications company, on March 14, following the company's acquisition of the remaining shares.","The remaining E-Plus portion of Simyo was acquired by KPN, a Dutch telecommunications company, on March 14, following the company's acquisition of the remaining shares.","Dutch telecommunications group KPN is owned by Simyo, which purchased the remaining E-Plus shares on March 14.","Dutch telecom operator KPN is owner of Simyo, which purchased the remaining portion of E-Plus on March 14.",Dutch telecom operator KPN owns Simyo - the company monopolizes mobile phone services – after acquiring the remaining shares of E-Plus on March 14.
"Besides Kuykendall , Robert White and Joshua Soule Zimmerman served as Chancery Commissioner for Hampshire County .","Robert White and Joshua Soule Zimmerman were the Chancery Commissioner for Hampshire County, in addition to Kuykendall.","In addition to Kuykendall, Robert White and Joshua Soule Zimmerman were the Chancery Commissioner for Hampshire County, while Zimmermann was the Commissioner of the Rash County.","In addition to Kuykendall, Robert White and Joshua Soule Zimmerman were the Chancery Commissioner for Hampshire County, while Zimmermann was the Commissioner of the Rash County.","In addition to Kuykendall, Robert White and Joshua Soule Zimmerman were the Chancery Commissioner for Hampshire County, while KuYkenderall was also represented by White.","Hampshire County alone entailed Robert White and Joshua Soule Zimmerman as Chancery Commissioners, except for Kuykendall.","Hampshire County alone entombed four individuals besides Kuykendall, namely Robert White and Joshua Soule Zimmerman, as well as two individuals, the Chancery Commissioner, for Hampshire Co.",Peter Zimmerman married Rebecca Blackford in 2009 and their son Jacob Zimmermann were also serving as Chancery Commissioner for Hampshire County.
"These views were often expressed during the emergence of Protestant , Puritan and Evangelical movements .","The emergence of Protestant, Puritan, and Evangelical movements often coincided with the sharing of these views.","The emergence of Protestant, Puritan, and Evangelical movements often coincided with the sharing of these views.","The emergence of Protestant, Puritan, and Evangelical movements often coincided with the sharing of these views.","These views were frequently expressed during the emergence of Protestant, Puritan  and Evangelical movements.","Protestant, Puritan and Evangelical movements forming today largely expressed these views and they were common during the emergence of Protestantism, Protestant Purity, and Protestant Reformation.","Protestant, Puritan and Evangelical movements gaining popularity around the same time frame exhibited these views.","Protestant, Pure and Evangelical movements gaining popularity around the same time often echoed these views."
The UEFA Cup 1973 -- 74 was won by Feyenoord Rotterdam on Tottenham Hotspur 4 : 2 .,Tottenham Hotspur defeated Feyenoord Rotterdam 4: 2 in the UEFA Cup 1973 -- 74 to claim the title.,Feyenoord Rotterdam emerged victorious over Tottenham Hotspur in the UEFA Cup 1973 -- 74 with a score of 4: 2.,"Feyenoord Rotterdam emerged victorious over UEFA Cup 1973 -- 74, beating Tottenham Hotspur 4: 2 in the match.",Feyenoord Rotterdam emerged victorious over re-occurring Tottenham Hotspur in the UEFA Cup 1973 -- 74 with a time of 2:2.,Tottenham Hotspur defeated Feyenoord Rotterdam 4: 2 in the UEFA Cup 1973 -- 74 to claim the title.,Tottenham Hotspur beat Feyenoord Rotterdam 4: 2 in the UEFA Cup 1973 -- 74 to secure the title.,Tottenham Hotspur beat UEFA Cup opponents Feyenoord Rotterdam 4: 2 in the meciul disputable by West Brom in Amsterdam on a 4 : 1 pitch.
