Sentence,Formal_15
Fun with Dick and Jane is a remake.,A remake of Dick and Jane's Fun with Dick is included.
I like to eat corn on the cob.,I have a preference for eating corn on the cob.
Go to 106 and park when he is there.,Park at 106 and proceed to a stop at Terminal 107 while he is present.
All I can say is it's better not to talk about 50 Cents and asses.,It's best to avoid discussing 50 Cents and asses.
How about the fact that Lisa has a boyfriend?,"Lisa may have been in a relationship, isn't she?"
"I believe he's Christian, maybe Jewish.","I think he'll be Christian, or maybe even Jewish."
"He's correct, it's a fantastic song.","He's correct, it'll be a fantastic song."
I'm giving 71 out of 100.,I'll give a score of 71 out of 100.
How much do you love gas? (give me more gas!),"Gas, how much do you love it? (seriously, please, give me more gas!)"
"For Halloween when I was little, I was him.",I was accompanied by him on Halloween when I had a younger son when Halloween came around.
I prefer all the old films.,I have a preference for all the old movies.
"Seinfield, That 70's Show, and War at Home.","Seinfield, That 70's Show, and War at Home."
That new song is just for the Greatest Hits.,The new song is exclusively for the Greatest Hits.
Basket: slam dunk for a grand protagonist.,Basket: slam dunk for a dramatic hero.
"I'm not sure, but maybe that may help someone else.","I've been unsure, but maybe that can be of some help to someone else."
No information available yet. Go to pinoisepop.com for previous festival information.,"Until there are more details on the festival, check out pinoisepop.com for previous year's schedule."
The bouncer from the pub next door...,The next door bounce from the nearby pub...
Jerry is definitely a male. Because I've seen a cartoon where JERRY falls in love with a female.,Jerry's identity as a man is undeniable. He'll be portrayed as gay after falling in love with Veronica.
"No, not at all. It is not good for your health.","No, not at all. It is not good for your health."
"No matter where you are, when a 90's song comes on, people always respond with the word, ""Oh.""","People are always quick to respond when a 90's song is played, regardless of where they are, with the phrase, ""Oh."""
You are telling me that there are people out in the world who do not like them?,Is it true that some individuals do not like them out there?
"Also, you will get to learn about O.W.L.","Moreover, you will be introduced to O.W.L. in the process."
"Come on, three months and no choice?",Three months and no choice? Is this three months late?
It may begin during the Spring or the Christmas season.,It is possible that it will start in the Spring or Christmas season.
"I enjoy dancing to ""Baby Got Back"" by Sir Mix-A-Lot.","Sir Mix-ALot's ""Baby Got Back"" is one of the most enjoyable dances I've ever been a part of, and it'll have me dancing along."
"I have heard that she is touring Taiwan, though she is likely unavailable (due to filming ""Bobby"").","I have heard that she is touring Taiwan, but it's possible that it wasn't there (since she was filmed for ""Bobby"")."
"He has a lot of power when he possesses his firearms, though without them he is likely weak.","He possesses considerable power when he has his guns, but if unable to obtain them, a person is likely to be weak."
Darth Vader would not have any opportunity.,Darth Vader would not have any chance.
I really enjoy Dragonball Z.,Dragonball Z is one of my absolute favorites.
"Try www.allmusic.com, it's my favorite site.","I highly recommend checking out www.allmusic.com, my go-to site."
"Everyone knows who Tom Petty is, he sings Free Fallin'.","Tom Petty, the man behind the song Free Fallin', is a well-known artist."
Fall out boy isn't my favorite. I'm not sure why everyone enjoys them.,"Fall out lily (sheeps of a trap) is not my thing, I mean, not why do people like fall out boy?"
"Rock Roses is the same as Stone Roses, so I don't think so.","I've heard Rock Roses is the same as Stone Rose, so I don't think that's accurate."
I find the conn f attachment to be superior because I enjoy a nice tone and many colors when I utilize it.,The conn f attachment is my preferred choice because I enjoy a vibrant color and contrasting tone when I use it.
"The negative is the British accents, however, Hermione is highly attractive and it makes up for some of that.","Hermione is a highly attractive person, even though the negative accents are due to British accent."
If it was that successful then it must be worth possessing.,"In the event that it was successful, it must be valuable to own."
"There are those that wish to extend the season to an entire year, and that is the reason for the break and vacation time.","Some individuals intend to lengthen the season by a full year, and that is why the holiday and vacation time are provided."
I found 24 to be politically conservative in nature.,Politically conservative was the name of 24.
"I know, but I can not remember.","I am aware, but I cannot recollect."
This happens only after having seven burritos.,Only after consuming seven burritos will this occur.
Bad women seem good for pornographic movies.,Women who are not good at pornographic movies often appear attractive in those films.
"Yes, look at Anjelina and look at the movie.","Yes, take a look at Anjelina and watch the movie."
I believe that you mean the television series.,The TV series is what you want to hear.
I do not think it is important because she is hot.,"I do not believe it matters much, she is hot."
"Bart Simpson is excellent, but Bugs Bunny is a classic.","Bart Simpson is superb, but Bugs Bunny is a workhorse."
Can't you hear me knocking.,"I'll be knocking on my door, can you hear me?"
I would rather listen to rock anyway.,"Rock music is my preferred choice, even though I might not like it."
It must not be allowed.,It should not be permitted.
I cannot think of anything else.,I cannot imagine anything else.
He will be 120 in 2100,"He will be 120 in two hundred years time, so he will have a new bf in 2100."
"While it is dated, it is always a supreme choice.","Despite its age, it is always a superior choice, even if it's outdated."
"It will always be negative, no matter what it is always wrong.","Regardless of what it may be, it will always be negative."
It looks as though they are going down their own unique path.,They seem to be following their own path.
"Shelly, I must say that it is positively just you!","Shelle, I am of the opinion that it is absolutely correct of you!"
"unless it is a garage band with  no true fame, the answer is no.","Unless it is a mediocre garage band with no real recognition, the answer is no."
Sorry that I am laughing out loud.,"I am laughing out loud, and I apologize for my late response."
I do not know why people repeat what is not true.,I am unaware of why people keep repeating false information.
"I really like him, Karin and Kazune.","I have a great fondness for him, Karin and Kazune."
"Hello, please stop at the deli.",Would you mind stopping by the deli?
Mighty Mouse is Kripto the super dog.,"Mighty Mouse, also known as Kripto the super dog, is the dog known for his super powers."
I love to play my guitar and I do not know why.,I have a strong passion for guitar playing and I am unsure of why I choose to pursue it.
"You aren't too fast catching up to the internet, huh?","You're not catching up with the internet speed, right?"
All I know is that I can download music onto my ipod.,All that I can tell is that my iPod can play songs and I am only aware of downloading it.
Throbbing Gristle is the best.,The top-notch Throbbing Gristle is the one.
It is creepy and hard to eat a Whopper after being around King Kong King.,"After being in the company of King Kong King, it is creepy and it's hard to eat a Whopper, which makes it difficult to chew."
Click the URL and watch the clips.,Watch the clips by clicking on the URL and clicking the play button.
We have to learn people.,We need to develop our interpersonal skills.
We like the law and order credits.,"Law and order credits are a favorite among us, as they allow for them."
I have to say the 80s.,The 1980s is the era I remember the most.
Radiolocator.com hooks me up.,Radiolocator.com gives me access to radiolocoator's website.
Just try to catch up with the sound of waves on the beach.,You simply have to try and catch a sound from the beach as the waves snarl.
"I don't know, but I just saw the preview for the season finale. I'm sooooo excited!","I've been waiting for the season's finale, and I can't believe I didn'T see the preview yet."
"Why go buy it? When u can get it for free, right?",Is there any point in buying something if you can just get it for free?
"This is the story of a girl, who cried a river and drowned the whole world.","The story of a girl, who cried engulfed savagely in midst of the world, is the story."
"In comes Joe Nathan, in the 9th...","In the ninth position, Joe Nathan is present..."
I have no idea who Louie Anderson is.,Louie Anderson is a name that I am unfamiliar with.
Happy Birthday to Margo Sylvia.,Happy Birthday Margo Sylvia!
The gang is all here and its time to lay them to rest.,The ring is here and it's time to put them to rest.
He saw food on the other side.,He observed food on the other side.
Three is the lucky number.,Three is the number that is considered lucky.
Four women who sympathize with the best of them.,Four women who share the same emotional struggle as the best of them.
Summer lost Seth's baby.,"Seth's child was not with Summer at the time, but Summer had to take him away from Sethal."
Listening devoutly to Gospel music helps me deal with my emotions.,"To cope with my emotions, I find that listening to Gospel music is a devoutly good way to deal with them."
"Was Alex, but probably change to Kaitlin","Alex was changed to Kaitlin from Alex, but it's possible that he became Kaitell instead."
His grandmother's slang name is of some nationality.,"His grandmother's slang name, which is derived from his ancestry, is of some nationality."
You can choose to go to the next chapter or select the menu button to return to the main page.,"Alternatively, you can skip to the next chapter or use the menu button to return to your main page."
This movie has potential to be nominated for an Oscar just like the other movies.,"Similar to the other films, this movie has the potential to be nominated for an Oscar."
"Spelling the word ""rapping"" without the second p changes the entire meaning of the word.","The word ""rapping"" is completely changed when the second letter of the alphabet is used to spell the word without the letter ""p"" and only the first letter (""p"") is skipped."
The story is about a girl.,The plot centers on a young woman.
I believe she starred in the movie Van Helsing.,I have a feeling she played ill in the movie Van Helsing.
I enjoy watching the show and Patrick is my favorite character.,Patrick is my favorite character and I enjoy watching the show immensely.
The band Thousand Foot Krutch perform a song called Rawk Fist that is very good.,"Thousand Foot Krutch are responsible for the song Rawk Fist, which is a very good rendition."
He said it was very embarassing.,He expressed that it was extremely humiliating.
You will need to make a playlist with the songs that you want to listen to on it.,Make sure to make a playlist of the songs you want to listen tos make it the playlist you have chosen.
Do something you have never done before.,Do something you have never done before.
"No, but I found it really humorous.","I found the answer incredibly amusing, even though it was a big no for me."
They liked Latoya Jackson too..,Latoya Jackson was also a fan of theirs.
I believe her name was Cheryl Pepsi Riley.,Cheryl Pepsi Riley was the name I believe she went by.
You should use a picture of Jay-Z.,"A photo of Jay-Z is acceptable, just don't use it."
Everyone is wrong except for me. All of their songs are the best.,"I'll be the sole person who is wrong, but I think all their songs are the best."
I think both are very talented.,I believe they are both very talented.
"It is like people have inquired, ""Is Rush Limbaugh finished? Because I do not hear about him much lately.""","Rush Limbaugh's recent media attention has led to speculations such as, ""Is he finished?"""
I am watching good classic television shows on TV Land.,TV Land is where I can find good classic TV shows to watch.
You can always do secret Santa or a cookie walk or exchange.,"Secret Santa, a cookie walk, or cookie exchange are all options for you to consider."
Try searching on Yahoo! movies.,Give watching movies on Yahoo! a try.
Sound proof everything you do or else it will not sound good.,Make sure to have a soundproofing system for all your actions or they will not sound good.
My husband says that I am like Brooke every day.,"My husband says that every day, I am like Brooke."
"The Breakfast Club, Now and Then, and Mean Girls.","The Breakfast Club, Now and Then, and Mean Girls."
The doctor on the show called them puppies.,The doctor on the show referred to them as puppies.
She has an album coming out called Candy Coated Sugar Sex.,She is currently working on an album titled Candy Coated Sugar Sex.
"May I remark, let's all become unified?",Is it not possible for us to unite and come together as one?
"Who perchance is feeling frightened because of the large cruel wolf, the large cruel wolf, the large cruel wolf?","Which group of people is experiencing fear due to the large, cruel wolf, the vastly cruel, and the enormously harsh  Wolf?"
"The experience was adequate... :-) Here's wishing you, John, a danger-free and enjoyable New Year's.","John, I hope that you had a safe and enjoyable New Year's."
"I'm somewhat unenthusiastic about the Cheetah Girls, however I remain the staunchest proponent of the Ravens that has ever exis","Despite my lack of support for the Cheetah Girls, I am the most enthusiastic advocate of the Ravens that has ever lived."
"However, in the most minor of considerations, you attempted it, correct?","Despite the slightest skepticism, you tried it, correct?"
"Well, first, you have to get lots of hands on experience.",Obtaining extensive hands-on experience is crucial to a successful outcome.
"Tell their ending, block the channels, and give them a interesting alternative.","Ensure their ending, block the channels, and present them with an interesting alternative."
"Oh my goodness! It had to be the old lady with the monkey, and the preacher visiting.","Oh my goodness! It must have been the old lady with the monkey, and the preacher who came."
It is not the greatest song ever.,It is not the greatest song of all time.
"I am very indecisive. Ellen, Rita Rudner, Roseanne... I don't know.","I am very indecisive. Ellen, Rita Rudner, Roseanne... I don't know."
I am only aware of his employment in an office with a less than stellar secretary.,"I have knowledge of his working in an office with a subpar secretary, but I am not aware of anything else."
"Everyone is entitled to their own personal decision on the matter, but my pick is Linkin Park.","I'll personally vote for Linkin Park, but everyone has the right to their own personal choice."
Anyone who chooses to listen to them instead of Howard is obviously lacking intelligence.,"Howard is clearly not a smart person, so anyone who listens to them instead of Howard seems foolish."
"As far as I am aware, he is being a different person now.","To the best of my knowledge, he is no longer the same person."
I find it very attractive that she is older than my own mother.,Her being older than my own mother just makes me very happy.
"Also invest in lessons, they are very helpful, and good luck.","Moreover, it is worth considering lessons as a valuable resource, and I wish you the best."
You simply go to google.com and enter the information you are searching for.,Access google.com and type in the information you are looking for by going there.
"Negative, but my mother will  make my father turn off what she refers to as his devil music.",My mother will force my father to turn off what she labels as his devil music.
He has a more attractive look.,He has a more appealing appearance.
They are both homosexual in nature so I am unsure.,I am uncertain if they are both gay since I cannot determine their sexual orientation.
It looks like you have a long wait ahead of you.,"Waiting seems long. Wait, wait for you."
MSN usually has what you are looking for.,MSN typically has what you need.
Full House is a Korean movie.,Full House is a Korean film.
"I miss the irreverent, screw-you, type of lyrics.",I long for the lyrics that are both irreverent and screw-you.
"""J'like dags?"" is an all-time classic.","""J'like d'hump?"" is a timeless classic."
Check their histories to see if they still exist.,Check if their records show any surviving survivors.
I could do this for one more season.,I could manage to do it for another season.
"Do not be alarmed, this is not contagious.","This is not a contagious disease, so do not be anxious."
Mr. Goldman saw a flash of light across night sky over the the Rocky Mountains.,Mr. Goldman observed a bright flash of light across the night sky over the Rocky Mountains.
I would like to watch more episodes.,I want to watch more episodes.
"Marvel Girl, Angel, Iceman, Cyclops, Professor X, and Beast.","Marvel Girl, Angel, Iceman, Cyclops, Professor X, and Beast are just a few of the titles that have been added to the franchise."
It will take another year I suppose.,"Another year, I suppose, will be necessary."
I drink whisky. You drink wine. Guess what you all it's Gangsta Time!,"Whisky and wine are both part of my diet. You must be in the Gangsta Time zone, right?"
Paris Hilton & Nicole Ritchie because they are both media idiots and they deserve each other.,Paris Paris-Hilliburton and Nicole Ritchie are both media nomads and should be in a relationship.
Darkseid. If he used his brains properly.,Darkseid could use his brains to do the right thing.
"If I recall correctly, it is that he will die.","He is likely to die, if I recall correctly, so it is."
"In my opinion, rap is not really music, it is just talking, mostly about drugs.","I think that rap is not music in the sense that it is talking, mostly about drugs."
That is what I was going to say.,That was my intention.
I think it was the female detective.,I believe it was the female detective.
You have me on that one.,You have me on that one.
"I also really appreciate La Tortura, but then again, I do not know anyone who does not like it.","I also have a fondness for La Tortura, but I am not aware of anyone who does not enjoy it."
"I believe you can have mp3s downloadd from peer-to-peer software, just like dc++.","I think you can have mp3s downloaded from peer-to-peer software, just like you do with dc++."
"I am a sincere, romantic, virgo male who is looking to treat a woman with care and love.","I am seeking a woman to treat me better as he shows i am virgo, romantic, and loving. I want to know how I can do this in Virgo and show her care and attention."
