Sentence,Paraphrase,Formal_10,Formal_15,Formal_20,Informal_10,Informal_15,Informal_20
What am I getting paid for doing this?,What is the amount of money I am receiving for doing this?,What is the amount of money I am receiving for doing this?,What is the amount of money I am receiving for doing this?,What is the amount of money I am receiving for doing this?,"Could you let me just say that I'm getting paid just now to do this job and I get paid again and get some money and all of a sudden I don't know what my actual salary will be butt up and running and on, and my salary is going to increase and so on and the pay will come and go and let's see how it all plays out and finally I got paid and got my computer and started paying it off?",Could YOU EITHOTHER PEOPLE SHOP-SHOOT-PRICE and EXERCISE ONE FINISHED THING?,Could YOU EITHOTHER PEOPLE SHOP-SHORT LINK?
Listen to what the first person who answered said.,Pay attention to the words of the first respondent who gave a response.,Pay attention to the words of the first respondent who gave a response.,Pay attention to the words of the first respondent who gave a response.,Be attentive to the first responder's words.,Pay attention to the words of the first respondenct who just got back in the day.,Pay attention to the words spoken by the first guy (*rrty-eyed @olanda* xr*) who reasserted you.,Pay it back what the first person who answered said.
"He could fly that plane, and I think that is funny.",I find it funny that he could take that plane.,I find it funny that he could take that plane.,I find it funny that he could take that plane.,I find it funny that he could take that plane.,"Funny also he'd still able to fly that plane, I can tell you.","Funny also he'll actually win 'f****** over that plane', and I thought if only.",Funny also he' DON'T want to fly that plane.
"This was an interesting book, story, and movie.","The book, story, and movie were all captivating.","The book, story, and movie were all captivating.","The book, story, and movie were all captivating.","The book, story, and movie were all captivating.","I really liked this book, story, this movie"" It was a really interesting book.","Intersting book it, witty story and sassy movie it was movie.",Intersting book it the story and sci-ripper It was a good movie.
"Sir, it is not good for you.","Sir, it is not good for you, it is not good for you.","Sir, it is not good for you, then, nothing is good.","Sir, it is not good for you, then, nothing is good.","Sir, it is not good for you, then, nothing is good.","Sir that bad you, ok, done, that isnt good, what the hell is your doing.""","Sir that bad you, ok, done, that isnt good, what the hell is your doing, Sir.","Sir up tooung on it, good riddam, it is really bad for you."
"it is not open to interpretation, however you can take pleasure in it.","It is not a matter of interpretation, but you can enjoy it.","It is not a matter of interpretation, but you can enjoy it.","It is not a matter of interpretation, but you can enjoy it.","It is not a matter of interpretation, but you can enjoy it.","You could still derricially savor it, nata wat silk's yen had said.","You could still sidlin' on it, ok, you could do it and you wouldn't you?","You could still sidlin' on it, ok, you could do it and you wouldn't you?"
"I have not seen the television series, however I have seen the R.O.D","I have not viewed the television series, but I have seen the R.O.D.","I have not viewed the television series, but I did see the R.O.D.","I have not viewed the television series, but I did see the R.O.D.","I have not viewed the television series, but I did see the R.O.D.","I just saw the R.O.D., and while I haven't snared the TV show, I sure did see the Survivors (R. O. D. is the one who got caught!).","I just saw the R.O.D., and while I haven't snared the TV show,I have seen the Survivors (R. O. D.)!","After that ""you still can get my picture on this Tv series but I didn't see the R o the d & h n t a s u l k w r uk b c e th ur i f ok bli v pr dition hem ritarita trudie."
"When he urinates it is batman, which is funny because he loses weight in water.","When he urinates, it is like playing batman, which is funny because he loses weight in water.","When he lays down in water, if a man pees it up, it's like playing batman, which is funny because essentially whoever loses weight in the water is comical.","When he lays down in water, if a man pees it up, it's like playing batman, which is funny because essentially whoever loses weight in the water is comical.","When he stains to death, it is like playing batman, which is funny because a person loses weight in water.","Batgirl cool comes out when he loses weight by peeing in water, just like batman when batten cleans his urine (hello, kitty, I know it's funny, lol) - but it was funny one time.","Batgirl cool comes out when he loses weight by peeing in water and then urinates, just like batman when batten purrs it out like that funny thing?","Batgirl cool comes out when he loses weight by peeing in water (it's funny because if lurching happens and a person lose weight it looks like batman, funny, it'll be funny to you guys)."
I like to spend time by myself.,I enjoy being alone and spending time outside.,I enjoy being alone and spending time outside.,I enjoy being alone and spending time outside.,I enjoy being alone and spending time with myself.,"I really like when I get alone really, really good.","I really like when I get alone really, really good.",I really just like to hang out just on my own little bit.
I guy walks into the bar.,The man walks into the bar.,The man walks into the bar.,The man walks into the bar.,The man walks into the bar.,"guy gets right in the bar,' he says.","guy gets right off the bar, walks over there and he.","guy gets right off the bar, walks over there and he."
"Downloading music from other computers is illegal, but you can do what you want.","Music can be downloaded illegally from other computers, but you have the option to listen to your own music.","Music can be downloaded illegally from other computers, but you have the option to listen to your own music.","Music can be downloaded illegally from other computers, but you have the option to listen to your own music.","Music can be downloaded illegally from other computers, but you have the option to listen to your own music.","You wont download music from other computers (it's illegal anyway since you can download your music on your own computer from any computer, of course, but you're free to do what you please you want right here on this computer though it'll be illegal if you try to download some music, you know it will be on the iPod, it won't work on my iPod.","Download[upupdd[musical] downloading[doload[/update] can legally download music illegally from other computers (yeah, you can download from any computer, it's legal on your PC, but you don't have to buy the CD-ROM from a different computer).","Download[upupdd sdr [download[/url] You can download music from other computers, it's illegal, but you can still download and play music on your computer."
Go to yahoo.com and click on images and type his name in the search box.,Go to yahoo.com and click on images and enter his name in the search box after clicking on his name.,Go to gmail.com and click on images and enter his name in the search box.,Go to a website like yahoo.com and click on images under the name and type in the search box with his name.,Go to a website like yahoo.com and click on images under the name and type in the search box with his name.,"Just click on ""Image click here then click over it again then enter his name in the new linkyahoo.com search box then go to yahoo.""",Just double-hit the link on yahoo.com and click on the images button and type in the name of the person you just contacted and enter his name in Google search.,Just double-hit the link on yahoo.com and click on the pictures and type in the name in a search box and enter his name.
He and the other guys agreed on the final cut.,He and the rest of the group came to a decision on the last cut.,He and the rest of the group came to a decision on the last cut.,He and the rest of the group reached a consensus on the last cut.,He and the rest of the group reached a consensus on the last cut.,Finally (there it nee it ha ha) he got the final cut juncture that the other men and emcees agreed on.,Finally (there it nee it ha ha) he got the final cut juncture that the other men and emcees agreed on.,"Finally (there it nee it ha ha) he got the final cut juncture that the other men and emcees agreed on, cut one and cut the rest."
We went to the other side.,We proceeded to the other side.,We proceeded to the other side.,We proceeded to the other side.,We proceeded to the other side.,Next time we trundened out to be on the other side.,Next time we trundened out west.,Next time we trundened out west [initially sent to the other side/nation/land n [and] we went inimitally fed.
I didn't know HBO existed in the 1980s.,I had no knowledge of HBO in the 1980s.,I had no knowledge of HBO in the 1980s.,I had no knowledge of HBO in the 1980s.,I had no knowledge of HBO in the 1980s.,Did everyone hear or sneez me when you said HBO was back in the 80s or whatever?,"Did everyone hear or sneez me when you said HBO in the ""80210""?","Did everyone hear or sneez me when you said HBO in the ""Thetapton&Monday"" predrug or what?"
"Yes, but not for episode IV.","Yes, but not for episode IV.","Yes, but not for episode IV.","Yes, but not for episode IV.","Yes, but not for episode IV.",Yes obviously did that for episode 4 but not for that episode and not in a literainty-based news report called episode four but in that case yes again.,Ok to that one if not on evtl 4.,"Ok to that one it really, right, only for episode (fourth and last episode only, so it's not tele d'ivylkets to be used by me again in episode 4-5 of 2008, let it be known just yet, it was episode IV of the same manga series, and so the Japanese didn't see the manga in the first couple of weeks, they were on episode of episode III of ephemera, but they"
You can look at www.oprah.com.,Visit www.oprah.com to learn more.,Visit www.oprah.com to learn more.,Visit www.oprah.com to learn more.,Visit www.oprah.com to learn more.,You can go online now by goo@oprah.com...,You also hv the opportunity to go to www.oprah.com.,You also hv the opportunity to go to www.oprah.com.
"It is impolite to use all capital letters, Dead Fish Ollec the Fish Slayer.",Dead Fish Ollec the Fish Slayer is a case in which all capital letters are deemed inappropriate.,Dead Fish Ollec the Fish Slayer is a case in which all capital letters are deemed inappropriate.,Dead Fish Ollec the Fish Slayer is an example of how to avoid capital letters.,Dead Fish Ollec the Fish Slayer is an example of how to avoid capital letters.,"Im sorry Dead Fish Ollec the Fish Slayer, don't use any capital letters at all, it's rude.","Im sorry Dead Fish Ollec the Fish Slayer, don't use any capital letters at all, it's rude.","Im sorry Dead Fish Ollec the Fish Slayer, don't use any capital letters at all, it's ruder?"
Anyone would cry at these movies.,The movies are so emotional that they could make you cry.,The movies are so emotional that they could make you cry.,The movies are so emotional that they could make you cry.,The movies are so emotional that they could make you cry.,Everyone would burst out laughing just thinking what happened in the movies.,Everyone would burst out crying just from watching all of your fave movies.,Everyone would burst out crying just from watching all of your fave movies.
What I like is that you let yourself go. (Hard!),"I find the feeling of being able to move on without judgment, which is my favorite thing about it.",I find the feeling of being able to let go and move on.,I find the feeling of being able to let go and move on.,I find the feeling of being able to let go and move on.,One way you just let me know is that you like letting your hair down. (Hard! ) That's what I like about it.,One way you just let me know is that you like letting your hair down. (Hard! ) That's what I like about it!,One way you just let me know is that you like letting your hair down and rejoicING when you finally do it. (Hard! )I like that a lot! I like the idea of the hard times!
"Entertainment, that's what I want for my $8.00.","Entertainment, that's what I'm getting for my $8.00.","Entertainment, that's what I'm getting for my $8.00.","Entertainment, that's what I'm getting for my $8.00.","Entertainment, that's what I'm getting for my $8.",Ent it me good to get you my $8.00 Entertainment.,Ent it me good to get you my $8.00 Entertainment.,Ent it me good to get you my $8.00 Entertainment.
"That dude, skip him, he said he knows the lead singer, hes lying.","I'm not sure what to make of that dude, but I can't remember if he knew the lead singer, and if he's lying, he's not a good match.","I'm not sure what to make of that dude, but I can't remember if he knew the lead singer, and unless I asked him, a dud was lying.","I'm not sure what to make of that dude, but I can't remember if he knew the lead singer, and unless I asked him, a dud was lying.","I'm not sure what to make of that dude, but I can't remember if he knew the lead singer, and unless I asked him, a dud was lying.","Did that dude, ogle him, I don''t know the lead singer, but he's not telling the truth, as if l was the one doing the bidding.","Did that dude, ogle you, confirmed he knows the singer, did a little research, and mumbled HE HAS BEEN SLINGED BY THAT DUDE?","Did that dude, oh no, I don't even know the name, dont trust me, that's a lie."
I was first out of all of us. Do I get the points?,I was the first one to be ranked first among all of us. Do I qualify for points?,I was the first person in the group. Am I entitled to receive the points?,I was the first individual to achieve this. Am I entitled to receive the points?,"I was the initial one among all of us, so can I claim the points?",Did the fact that I was the first one on the group that made me eligible for points also accountul my point total?,Did everyone get their points just because I was the first one to do it out of all of them?,Did everyone else get points if I was the first one out of them all the others?
"Rest assured, though Showtime is talking about starting it, so it will be better.","Rest assured, it will be better, even though Showtime is discussing starting it.","Rest assured, it will be better, even though Showtime is discussing starting it.","Rest assured, it will be better, even though Showtime is discussing starting it.","Rest assured, it will be better, even though Showtime is discussing starting it.","Rest easyPlz, Showtime's about to kick-off, so it'll be better.","Rest easyPlz, the show's new episode is a good one, even though Showtime'' is talking about starting it.","Rest easyPlz, the best answer is that Showtime''s talking about starting it, so you can bet on its success."
it depends on how much money and drugs you have.,"The amount of money and drugs you have, as well as other factors, determines it.","The amount of money and drugs you have, as well as other factors, determines it.","The amount of money and drugs you have, as well as other factors, determines it.","The amount of money and drugs you have, as well as other factors, determines it.","The exact amount you ingrain, on a small amount (money or drugs, it really depends on your money and your drugs and stuff, but it depends how much you have now.","You also ne get it based, pretty close, it depends on how much money and drugs you have.","You also ne get it based, pretty close, it depends on how much money and drugs you have and how many drugs, you can and also it's a little bit of luck."
The Bangles Hazy shade of Winter.,Bangles & The Hazy Colour Collection in The Bangles' Hazy Winter colour.,Bangles & The Hazy Colour Collection in The Banglers' Haze of Winter.,Bangles & The Hazy Colour Collection in The Banglers' Haze of Winter.,Bangles & The Hazy Colour Collection in The Banglers' Haze of Winter.,Bangr4''s Hazy Winter - The band' newest release.,"Bangr3's Hazy Black and White, a pop-taser pink with holographic swag and bobby down the lyceum base.",Smash cut/pop-leg-duh collabe The Bangles Hazy color duo's new song Winter.
But the longest word in the dictionary is antinonestablishtarianism. I think that is how you spell it.,"I am confused about the spelling of antinonestablishtarianism, which is the longest word in the dictionary.",I'm not sure what the long word for antinonestablishtarianism is in the dictionary. It's the longest one in it. What is the correct way to spell it?,I'm not sure what the long word for antinonestablishtarianism is in the dictionary. It's the longest one in it. What is the correct way to spell it?,I'm not sure what the long word for antinonestablishtarianism is in the dictionary. It's the longest one in it. What is the correct way to spell it?,"Antinonestablishtarianism is the word you just put in the dictionary and it's the longest word in it. I'm confused about how you spell it, I think it is spelled that way.","Antinonestablishtarianism is the word you just put in the dictionary and it's the longest word in it. I'm confused about how you spell it, I think it is spelled that way.","AntinoestablishTANionistEC would really make your the longest word in the dictionary, right?"
Probably at the Ricky Ticky Tavy store.,Probably at the Ricky Ticky Tavy store.,Probably at the Ricky Ticky Ty Tavy store.,Probably at the Ricky Ticky Ty Tavy.,Probably at the Ricky Ticky Ty Tavy.,Preferably at the Ricky Ticky Ty Tavy shop when you most likely happen chance on one of the afore-eight at my new store.,Preferably Ricky Ticky Ty Ty shop if you go there for a while.,Would you buy yours realy at the Ricky Ticky Ty Tavy store.
The gang is all here; goodbye to all the rest!,The gang is all set; the rest is a thing of the past; bid farewell to everyone else!,The gang is all over; the rest is departed; let's bid farewell to everyone else!,The gang is all over; the rest is departed; let's bid farewell to everyone else!,The gang is all; the rest is departed; let's say goodbye to the others!,Everyone can now join in ; and good bye to everyone!,Everyone can now join in ;the gang is all over; goodbye to everyone else!,Everyone can now join in ;the gang is all over; goodbye to everyone else!
"The movies are Big, Sleepless In Seattle and I hope the Da Vinci Code.","Big, Sleepless In Seattle and I Hope the Da Vinci Code are the movies that I will be watching.","The movies that are part of the package are Big, Sleepless In Seattle and I hope the Da Vinci Code.","The movies that are part of the package are Big, Sleepless In Seattle and I hope the Da Vinci Code.","The movies that are part of the package are Big, Sleepless In Seattle and I hope the Da Vinci Code.","Big (one off the big screen, the drearis one shot and the other at the theatre, part taken by the Beatles and hit by airplanes, and Sleepless In Seattle and I hope the Da Vinci Code if you were wondering about who the hell is.","Big (one off the big screen, the drearis one shot and the other at the theatre, part taken by the Beatles and hit by airplanes, with the last one being a slap in the middle of the road, sleepless in Seattle and I hope the Da Vinci Code starring Kate Winslet.","Big (one off the big screen, the drearis one shot and the other at the theatre, part taken by the Beatles and hit by airplanes at a fast speed, making it PGPG-rated, and Sleepless In Seattle by Disney and I hope the Da Vinci Code by Jason Momoa and Jennifer Jones by Sony Pictures and HBO comrades.Dating the da Vue de vieillilla!"
You do not want to go to hell.,"You cannot go to hell, you cannot allow it.","You cannot go to hell, you cannot allow it.","You cannot go to hell, you cannot allow it.","You cannot go to hell, you cannot allow it.","You wont go to hell, you don't even care.","You wont go to hell, you don'?","You wont go to hell, you don'?"
The wild and sexy lady from Brazil is quite a hot woman!,"The Brazilian woman, who is known for her wild and sexy fashion, is quite sexy and quite attractive!",The sexy and edgy Brazilian woman from Brazil is quite a hot woman!,The sexy and edgy Brazilian woman from Brazil is quite a hot woman!,The sexy and edgy Brazilian woman from Brazil is quite a hot woman!,"Brazilian girl ""With her sexy brawn ain! ""...","Brazilian girl ""With her svelte braces on a hot pink card, i really wanna take 'em out of my ring and show me some curves!""","Brazilian girl ""With her svelte braces on a big girdle...so it doesn't hurt to know that we all can at least diz 2000 y (onione to be updated soon!) YAZE!"
Two are The Word Is Not Enough and Tomorrow Never Dies.,The two are The Word Is Not Enough and Tomorrow Never Dies.,The two are The Word Is Not Enough and Tomorrow Never Dies.,The two are The Word Is Not Enough and Tomorrow Never Dies.,The two are The Word Is Not Enough and Tomorrow Never Dies.,"Next there won t the two big games he won, The word Is Don''t Enough and Tomorrow Never Dies - the other two were The Word I's Not Enu and the third one was Tomorrow nite.",Next there won also The word I's (ISN DU HUN DIE HUNDRED PLUS MINUTES) and Tomorrow NOSE NEVER DONE.,Next there won also The word iisn not enough and Tomorrow Never Dies.
"There were three of them, my daughter, my sister and one of my exes.","My daughter, my sister, and one of my exes were the three of them, which were my daughter, sister, and exes.","My daughter, my sister, and one of my exes were the three of them, which were my daughter and sister.","My daughter, my sister, and one of my exes were the three of them, which were my daughter and sister.","My daughter, my sister, and one of my exes were the three of them, which were my daughter and sister.","3rd man was my daughter, sister and one of my exes were my unmarried ex-girlfriend[sic].","3rd man was my daughter, sister and one of my exes I was leaving my boyfriend.","3rd man was my daughter, sister and one of my exes I was leaving my boyfriend."
"Fort Minor is the name he is currently using, I do not believe he is working on any side projects.","Fort Minor is the name he is currently using, and I do not believe he is involved in any other work.","Fort Minor is the name he is currently using, and I do not believe a side project is involved.","Fort Minor is the name he is currently using, and I do not believe a side project is involved.","Fort Minor is the name he is currently using, and I do not believe a side project is involved.","Fort Minor i call it, and I don't think he's busy with another project, but I'm pretty sure a guy like him is on the cusp of reuniting, if possebling, or promoting something on instagram.","Fort Minor i call it, and I don't think he's busy with a side project, but I'm pretty sure if l was, 'He'll start off right away with Fort Fort-Morning,' and hey, Fort, I can'd probably call him Fort!","Fort Minor i call it, and I don't think he'd even squeal about having a ""nothing more"" project, neez, but I know if y'all are keeping up with him on that project right now."
"I like a wide array of music, from all different generas.","I am fond of listening to music from all genres, but I am not confined to any particular style.","I have a fondness for countless musical genres, spanning various genre genre.","I have a fondness for countless musical genres, spanning various genre genre.","I have a fondness for countless musical genres, spanning various genre genre.",I can''t help but be appeased and have a wide range of music interests and likened them to different genres of songs when I'm in the mood for them all the time!,"All age/grrl/n & I like a great deal, so I have ear buds full of music from every genre.","All age/grrl/n & I like a great deal, so I have ear buds that go everywhere."
That is the reason why I enjoy listening to dance and techno styles of music.,"Dance and techno music is my preferred genre, which is why I enjoy listening to it.","Dance and techno music is my preferred genre, which is why I enjoy listening to it.","Dance and techno music is my preferred genre, which is why I enjoy listening to it.","Dance and techno music is my preferred genre, which is why I enjoy listening to it.",DJ dance and techno music always pique my interested and dance-heavy music listening pleasure and that is the reason why I love listening to dance music and all the techno sounds to my ears.,DJ dance and all the techno music I can listen to [dance] is the reason I like it so much to get my drift off the c***s.,DJ dance and all the new techno sounds sound amazing to me and I love dance music.
"I think they are okay, unfortunately they will have to buy their own tickets to the HOF like we did.","I think they are doing fine, but unfortunately, they will have to purchase their own tickets as we did for the HOF.","They seem to be doing fine, but unfortunately, they will have to purchase their own tickets to the HOF, which we did.","They seem to be doing fine, but unfortunately, they will have to purchase their own tickets to the HOF, which we did.","They seem to be doing fine, but unfortunately, they will have to purchase their own tickets to the HOF, which we did.","Like everyone I'd hoped they'll get it now, they won''t have to buy their own tickets to the HOF, which we did.","Like everyone I'd opine they're fine, they just had to buy their own tickets to the HOF, which isn't a good deal, and we didn''nt let them.","Like everyone I spoke up, you can't say it'll rain from now on, they're able to buy their own tickets for the shof like we did."
I have attempted it that way and it does not work.,I have tried doing it in that way and it does not work.,I have tried doing it in that way and it does not work.,I have tried doing it in that way and it does not work.,I have tried doing it in that way and it does not work.,"I tried it that way and it works, and I don''t see any problem.","I tried it that way and it works, and I don''t see any problem.","After running away they said that's the way it'll go and it actually won', I've done it and that method doesn't work at all?"
"It could be true, but I do not know for certain.","It is conceivable that it is, but I am unsure if it is.","It is conceivable that it is, but I am unsure if it truly is.","It is conceivable that it is, but I am unsure if it truly is.","It is conceivable that it is, but I am unsure if it truly is.","Could just the truth trussed, I don't know for sure?","Could just ""I can'do it all over again, I cant exactly say it.""","Could just ""I can'do it all over again, I cant exactly say it."""
