Sentence,Paraphrase,Formal_10,Formal_15,Formal_20,Informal_10,Informal_15,Informal_20
The team responded to the changes in the next game the same evening on 19 February .,"The team reacted to the changes in the next game on 19 February, which was the same evening, by responding to the changes.","The team acted on the changes in the next game on 19 February, the same evening, and they reacted to the change in a different game.","The team acted on the changes in the next game on 19 February, the same evening, and they reacted to the change in a different game.","The team acted on the changes in the next game on 19 February, the same evening, and they reacted to the change in a different game.",Next game on 19 the team evening on19 February they responded to the changes and the squad confirmed the change on the next game.,"Nextgame on 19 the team, 19 February, same night the reasened the club of the change when the next game was played and the changes were reacted by the players in the new game plan.","Nextgame on 19 the team, 19 February,the team responded in the same night to the next game on the very same oft the changes made."
"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .","Nashua Silver Knights, the collegiate team of the city, is part of a summer league team that participates in a current summer league.","The city's collegiate team is the Nashua Silver Knights, who are part of a summer league that includes the city-based slum team.","The city's collegiate team is the Nashua Silver Knights, who are part of a summer league that includes the city-based slum team.","The city's collegiate team is the Nashua Silver Knights, who are part of a summer league that includes the city-based slum team.","Nashua Silver Knights, the city'' collegiate team nayma, a. summer league team that is part of u.s. college football scouts, is forming i.e.","Nashua Silver Knights, teaming up jus too, a stydish summer league team, was the newest collegiate team of the city.","NawU (News 4) The city's collegian team is the Nashua Silver Knights, & is a member of nyc'', an NHL university, in."
"The `` Fallbeil '' was used for the last time in West Germany in 1949 , in East Germany in 1966 .","West Germany used the  Fallbeil '' for the last time in 1949, while East Germany used it in 1966.","West Germany used the  Fallbeil '' for the last time in 1949, while East Germany incorporated it in 1966.","West Germany used the  Fallbeil '' for the last time in 1949, while East Germany incorporated it in 1966.","West Germany used the  Fallbeil '' for the last time in 1949, while East Germany incorporated it in 1966.","19 years zuvor (Gr.W. 266/49/66 und/- 1966 / 1966/67 - the  Fallbeil '' was used in West Germany for the final time in the world's capital city of Berlin, in Berlin (in Westdeutschland 1961/24) & in East Germany (the cire du brouhaha).","19 years zuvor (Gr.W. 2 used the term "" Fallbeil (or a French symf on the  in 187/187 488 in West Germany / & 2/25 in East Germany (legally signed/stupid/dit/tycoon/day in Japan/USA only in 1949/66/70 in China/68/69 in Korea/80/65 in South","19 years zuvor (Gr.W. 2 used the  Fallbeil '' in Berlin in 1949, while in 1966 it was used in East Germany for the last time (2006 ans, later with a reinterpenetration in Japan in 1967 and -in 1968 / 1968, and 1970 & y/k."
The canal is one of the oldest navigable canals in Europe and in Belgium .,The canal is among the oldest navigable canals in Europe and Belgium.,The canal is among the oldest navigable canals in Europe and Belgium.,The canal is among the oldest navigable canals in Europe and Belgium.,The canal is among the oldest navigable canals in Europe and Belgium.,"One der earliest predihuale cannons in Europe and all over (Brittritte-Boye, 1898 - 1958) & in the country's savannah is the ""canyon"" (northern) in Belgium and one of the oldest in all Europe.",One der newest and most vechile canals in Europe (all of them in the European continent and in Belgium besides u.K.A.,"One der newest and most vechile canals in Europe (it is the oldest in the whole of Europe and is still navigable in Belgium if you look at the map below for details & annus orzinien, see on the cyn."
In 2009 he moved back to Philadelphia and lives in New York City today .,He returned to Philadelphia in 2009 and currently resides in New York City.,"He moved to New York City in 2010 and is currently based in New Jersey, having previously lived in Los Angeles before moving back to Philadelphia in 2009.","He moved to New York City in 2010 and is currently based in New Jersey, having previously lived in Los Angeles before moving back to Philadelphia in 2009.","He moved to New York City in 2010 and is currently based in New Jersey, having previously lived in Los Angeles before moving back to Philadelphia in 2009.","Back again in 2009 he. moved to Philadelphia and now lives in New York City based in the city - a life that deries him imaginable way to live outside of NYC (XXL USC = Times Square in NYC @XDendous Life-XPLOITIT in NY, WICKARD IN THE MOVIE, XY Z in 2006, and 2007-2008, USA-- He lives out of New Jersey and living","Back now he live's 86 and in New York City, reuniting in the city in 2009, so a quick move, and stow away in 2009.","Back now he live's 86 and in New York City, reuniting in new apartment in the city since moving back to the U.S in late2009."
"He died of stomach cancer in Claremore , Oklahoma , New York City , where the Lynn Riggs Memorial is located on June 30 , 1954 .","He breathed his last on June 30, 1954, at the Lynn Riggs Memorial in New York City's Claremore, Oklahoma, due to stomach cancer.","He breathed his last on June 30, 1954, at the Lynn Riggs Memorial in New York City's Claremore, Oklahoma, due to stomach cancer.","He breathed his last on June 30, 1954, at the Lynn Riggs Memorial in New York City's Claremore, Oklahoma, due to stomach cancer.","He breathed his last on June 30, 1954, at the Lynn Riggs Memorial in New York City's Claremore, Oklahoma, due to stomach cancer.","Ent stomach cancer passed away on 30 June 1954 just in Claremore (ok to be in New York City in this city called ""Cleveland Area Area"" where the Lynn Riggs Memorial is located at the time of his death in 1954, in the city where he was buried and where his funeral was held, due to stomach illness.","Ent stomach cancer passed away soon after 5 mins (40 hr) on 30 June 1954 in Claremore (now called ""Cycling Riggs-Sidi Bye Prevries in North Carolina- but It Doesn't Til Big Tuff"" in MN, Oklahoma, USA, at the Lynn Riggers Memorial Hospital in New York City, New Jersey, where the rest of the Oklahoma City Hospital's Lyceum Medical Center","Ent stomach cancer passed the comorber on June 30, 1954 in Claremore / Oklahoma & New York City, the same city that is now the Lynn Riggs Memorial, just a few weeks before he died in the hospital from stomach Cancer on the night of 30 June 1954. The Lynn, Oklahoma, New york city city hospital is named after him."
"Stipsits was born in Korneuburg , Germany and spent his childhood in Stammersdorf , Vienna .","Stipsits was born in Korneuburg, Germany, but spent his early life in Stammersdorf, Vienna.","Stipsits was born in Korneuburg, Germany, but spent his early life in Stammersdorf. in Vienna.","Stipsits was born in Korneuburg, Germany, but spent his early life in Stammersdorf. in Vienna.","Stipsits was born in Korneuburg, Germany, but spent his early life in Stammersdorf. in Vienna.","Im Kind (d. 1946) Stipsits (stipsits__1_1) was born in 1976 in Korneuburg,Germany and was raised in Stammersdorf - Vienna.","Im Kind (d. 1946) Stipsits (stipsits__1_1) born in 1909 in Korneuburg /Germany but he was reared in Stammersdorf,Vienna.","Im Kind (d. 1946) Stipsits (stipsits__1_r.jpg) Born in Korneuburg (Germany) in 1932, he was reared in Stersdorf (Wiener Kreuzberg) & Vienna."
The Keita dynasty ruled pre-imperial and imperial Mali from the 12th century into the early 17th century .,"Mali was under the control of the Keita dynasty, a ruling family that covered both pre-imperial and imperial regions, from the 12th century to the early 17th century.","Mali was under the control of the Keita dynasty, a ruling family that covered both pre-imperial and imperial regions, from the 12th century to the early 17thcentury.","Mali was under the control of the Keita dynasty, a ruling family that covered both pre-imperial and imperial regions, from the 12th century to the early 17thcentury.","Mali was under the control of the Keita dynasty, a ruling family that covered both pre-imperial and imperial regions, from the 12th century to the early 17thcentury.","Pre-imperial and imperial Mali was governed by the Keita dynasty from the 12th century to the early 17thcentury, under the rule of the kings of Maliana.","Pre-imperial and imperial Mali was governed by the Keita dynasty from the 12th century to the early 17thcentury under the rule of the kings of Maliana, who were known for their feudal conquests.","Pre-imperial and imperial Mali was governed by the Keita dynasty from the 12th century to the early 17thcentury under the rule of the kings of Maliana, who were known for their feudal conquests."
"`` Angel Eyes '' is a 1946 popular song composed by Matt Dennis , with lyrics by Earl Brent .","Matt Dennis composed Angel Eyes, a popular song from 1946, with lyrics by Earl Brent.","Matt Dennis composed Angel Eyes, a popular song from 1946, with lyrics by Earl Brent.","Matt Dennis composed Angel Eyes, a popular song from 1946, with lyrics by Earl Brent.","Matt Dennis composed Angel Eyes, a popular song from 1946, with lyrics by Earl Brent.","Matt Dennis releaseda All Right '', a popular song from 1946, made popular by the Beatles anthem Angel Eyes, written by Earl Brent ; the song was written with lyrics by Lynn Crocker and recorded in the summer of 1946 as if by songwriter Matt Blackburn from New York City based on the Chicago song Angels & Eyegazers, with bassist Earl Dennis off the cymbals of the U.S.","Matt Dennis releasedaa popular song named Angel Eyes (popular at the time in a small inSTITUTION in 1946/'47 by widgith moormoor ; Angel eyes'' by Earl Brent, popular atthe time '50 - 6pm rd, pronounced  Angel' based on Earl & Earl's song ""Angel Eye"" iLove sung by Matt  Dennis.","Earl Brent donated lyrics lyrics tt:  Angel Eyes '', a popular song released in 1946 by Matt Dennis, written by Earl Dennis, lyrics by Jeremy Brent, the producer of Angel eyez, Angel eyes : popular popular songs of 1946, 1946; ""Angela Eyed Rock"" popular cântoon by the Beatles, angelique mingura-synch?"
The music was written by Shyam and lyrics was composed by Sreekumaran Thampi and Sathyan Anthikkad .,Shyam was the writer of the song and the lyrics were written by Sreekumaran Thampi and Sathyan Anthikkad.,Shyam was the composer of the song and the lyrics were written by Sreekumaran Thampi and Sathyan Anthikkad.,Shyam was the composer of the song and the lyrics were written by Sreekumaran Thampi and Sathyan Anthikkad.,Shyam was the composer of the song and the lyrics were written by Sreekumaran Thampi and Sathyan Anthikkad.,"ShYEAM wrote the music, Sreekumaran Thampi wrote it,[lips] and lyrics it was written by SREEMAMAMARAN THATHMIK AND SATHYAN AntHIKKAY.","ShYEAM wrote the music, Sreekumaran Thampi co-wrote [it] Song, lyrics by (myself and others sang the song, I don't know, what to do, everyone''.","ShYEAM wrote the music, Sreekumaran Thampi co-wrote [it, sorry sorry, I didn't use it yet, it was a bad idea, but I really liked it' The lyrics were written by SREEMAMAMARAN THATHIMOMARANN and SANDHIM AND SATHYAN AnthikKAD, the READERS of the song ""You nailed the Tigers""."
"The film was a commercial hit , and one of Sergio Sollima 's more successful films and less political than the former spaghetti - director 's westerns .","The movie was a commercial success and one of Sergio Sollima's more successful films, despite being more politically charged than the previous spaghetti-filled westerns produced by other directors.","The movie was a commercial success and one of Sergio Sollima's more successful films, despite being more politically charged than the previous spaghetti-filled westerns produced by other directors.","The movie was a commercial success and one of Sergio Sollima's more successful films, despite being more politically charged than the previous spaghetti-filled westerns produced by other directors.","The movie was a box office hit, and one of Sergio Sollima's more successful films, despite being more politically charged than the previous spaghetti-filled westerns directed by the same director.","Sergio Sollima'' newest film, the commercial hit, was one of the'silly - western' westerns that director JB Putney honed down in the early 1960s and was still the most successful film he'd ever made, ludicrty free as well as one more akin to the more frensic etiquette strenuent of director Sergia Sollitia","One Sergio soLlima much had a successful film (as well as selling well at the Cannes film festival as the moto he made for his first western in 1932 & 1921 directing YENIFILDI, the only film in TYLER'S LIFE, FRANCE, on Friday, and was one of the better, less violent, politically disglaned, westerns directed by CSICSI famers.",One overshoO successful movie (yet unavvy - director s westerns made by dummy movie director Sergio Sollima a man fartwickel and boomerang) Sergion Sollitia (left) said the film was 'a commercial success and one of the few british and more popular thancion films' Solliteima was one more successful than Solilimand's newest and less
Kabir asks Sarika to reveal his plan to end Ranvir 's game .,Kabir requests Sarika to disclose his plan to end Ranvir's game.,Kabir requests Sarika to disclose his plan to end Ranvir's game.,Kabir requests Sarika to disclose his plan to end Ranvir's game.,Kabir requests Sarika to disclose his plan to end Ranvir's game.,"Ranvir leaves game, kumri tells Sarika Sariwar "" weht her plan is to stop the game Kabir asks for Saris' answer.""","Ranvi think that Ranvir won the game, Kabir implores Sarika to come out and stop the match with Sarrika telling a simple reply, ""Saran, donnu tell me you don't do that!""","Kapil returns now, stating Ranvir hurried, just on mon, for a cup of hot Sund, and saran knows he will get his act together, so let's answer Sarika' Kabir'Sarivika wonders if anyone can atttains his wits about to end Ran virvir' tym."
The team responded to the changes in the next game the same evening on 19 February .,"The team reacted to the changes in the next game on 19 February, which was the same evening, by responding to the changes.","The team acted on the changes in the next game on 19 February, the same evening, and they reacted to the change in a different game.","The team acted on the changes in the next game on 19 February, the same evening, and they reacted to the change in a different game.","The team acted on the changes in the next game on 19 February, the same evening, and they reacted to the change in a different game.",Next game on 19 the team evening on19 February they responded to the changes and the squad confirmed the change on the next game.,"Nextgame on 19 the team, 19 February, same night the reasened the club of the change when the next game was played and the changes were reacted by the players in the new game plan.","Nextgame on 19 the team, 19 February,the team responded in the same night to the next game on the very same oft the changes made."
"Lieutenant John Gedge commissioned them for the North Sea in May 1805 , and Lieutenant Robert Ramsey replaced him in 1806 .","Lieutenant John Gedge commissioned them to sail in the North Sea in May 1805, and Lieutenant Robert Ramsey took over in 1806.","Lieutenant John Gedge commissioned them to sail in the North Sea in May 1805, and Lieutenant Robert Ramsey took over in 1806.","Lieutenant John Gedge commissioned them to sail in the North Sea in May 1805, and Lieutenant Robert Ramsey took over in 1806.","Lieutenant John Gedge commissioned them to sail in the North Sea in May 1805, and Lieutenant Robert Ramsey took over in 1806.","Lieutenant John Gedge deployed them to the North Sea in May 1805, and Lieutenant Robert Ramsey took over in 1806.",LelDynn D.G.E. enlisted them again in May 1805 D for the North Sea in a commission in the then requirment commissioned by Lieutenant John Gedge[call call to account] and he was succeeded by dr.,"LelDynn D.G.E. enlisted the team in May 1805 to go into the North Sea, and in 1806 he succeded to the captain, a lecithierary named Lieutenant Robert Ramsey, who took over in Dwight, Massachusetts, from DWH, Chester, England, in NE 18306."
Emma Townshend is represented by David Godwin at DGA Associates .,"David Godwin, of DGA Associates, is the legal representative for Emma Townshend, who is represented by Emma Townshend.","David Godwin, of DGA Associates, is the legal representative for Emma Townshend, who is represented by Emma's solicitor, Emma.","David Godwin, of DGA Associates, is the legal representative for Emma Townshend, who is represented by Emma's solicitor, Emma.","David Godwin, of DGA Associates, is the legal representative for Emma Townshend, who is represented by Emma's solicitor, Emma.",David God wins dga associate england spt emma twyk & gta on.,"Emma Townshend audition @@@dgaas@yc.co.uk Contact David Godwin, DGA, a solicitor at DGC Associat?","Emma Townshend audition @@@dgaas@yc.a/b & DGA U U QB @/@ DA AS QUALIFY - Emma Godwin, DQAY!"
"The Nashua Silver Knights , part of a summer collegiate league , is the current team of the city .","Nashua Silver Knights, the current team of the city, is a summer collegiate league in which they compete, and they are based within the city.","The Nashua Silver Knights, the current team of the city, is a summer collegiate league in which they compete, and they are also members of SNCC.","The Nashua Silver Knights, the current team of the city, is a summer collegiate league in which they compete, and they are also members of SNCC.","The Nashua Silver Knights, the current team of the city, is a summer collegiate league in which they compete, and they are also members of SNCC.","Nashua Silver Knights, the team that the city currently has on its roster, is a summer collegiate team in league (click on the name to learn more about the Naws, summer 2009 LAN) *NashuA* Silver knights is the current team of the City of New Hampshire.","Nashua Silver Knights newest team the city already steeorat, is a member & team of southwestern high school,. - mainly based in SSNY – primarily promoting and advancing in the summer as u.s.collegiately.","Naw U (New School Booster League) The city's team at the moment is the Nashua Silver Knights, & they play in a summer collegiate league called the city silver."
"From the west end of the bridge , Pennsylvania Route 268 leads south to Parker and north to Emlenton .","Pennsylvania Route 268 travels from the west end of the bridge to south across the city's south end point (Pennis Pass) and north across the city to Emlenton on Route 268 (Sinterlee, part of the Delaware en route).",Pennsylvania Route 268 travels from the west end of the bridge to south across the city's south end point (Pennis Pass) and north across Emlenton on the way to Wayne'sville.,Pennsylvania Route 268 travels from the west end of the bridge to south across the city's south end point (Pennis Pass) and north across Emlenton on the way to Wayne'sville.,Pennsylvania Route 268 travels from the west end of the bridge to south across the city's south end point (Pennis Pass) and north across Emlenton on the way to Wayne'sville.,"South on 69 (.94 mi) on the new map, it is the southern terminus of 97, just a few tens of dollars north on 268 (New Hancock & Hop Hop Co., now called Hank and Hop Olu on 101, starting at Hankin Hole in Wayne County TN 590 on Route 224, heading west on Pennsylvania Route 269 heading east at Hollow Ferry Head toll on Emlenton.","South on 69 (.94 mi) on the new map, it is the southern terminUS/Solbe (Neah) Land, so it goes from the west end of the 1897 New York City to Parker (U.S. Bigger, Mecklin, and I'm Bigs, butty, Ill., Levitts and Youngstown, New Jersey, to Route 268 (Pennsy/Win","South on 269 (the new single- carriageway south of Highway 94/94 and from the western terminus of the overland bridge to Hwy 84/85 between City and City, north to Highway 16 just past the city of Weston, south to Route 268 onwegweg 21 (way from Laurel Mills to route 21) and then 220 south on Pennsylvania Route 368 heading north again around the northern terminpoint of Route 21."
"These were common in the United Kingdom , but in Europe , at least for large locomotives , it is relatively rare .","In the United Kingdom, it was typical to see these types of locomotives, but in Europe, they are not often seen, particularly on large locomotives.","In the United Kingdom, it was typical to see these types of locomotives, but in Europe, they are not often seen, particularly on large locomotive engines.","In the United Kingdom, it was typical to see these types of locomotives, but in Europe, they are not often seen, particularly on large locomotive engines.","In the United Kingdom, it was typical to see these types of locomotives, but in Europe, they are not often seen, particularly on large locomotive engines.",Big locoms in the train were a regular comonplace in United Kingdom but hardly ever in Europe whereas in European the very real deal was for at least the big big loci (i.e.,Big locoms in the train were a regular comonplace in United Kingdom but hardly ever in Europe (atleast in europe where the number of big big diesels was 98 to 100 on one hand and in 18 only on the one side of the line anyways if you count the big locomotives on ANZACTURAL UK CHANGED FROM THE UNIONION RULEY ENGINEER,"Big locoms in the train were a regular comonplace in United Kingdom but hardly ever in Europe (atleast in europe where the number of big big diesels on ltd gantry was 125 t/h and 106 id made, it was just 59 hp and 60 g/d in each x y o en st & n d is in, so"
"Alston was born on December 21 , 1965 in Oxon Hill , Maryland . He attended Oxon Hill High School in New Haven , Connecticut .","Alston was born on December 21, 1965, in Oxon Hill, Maryland, and attended Oxon Hill High School in New Haven, Connecticut.","Alston was born on December 21, 1965, in Oxon Hill. Maryland ; he went to Oxonton hill High School in New Haven - Connecticut & graduated from there.","Alston was born on December 21, 1965, in Oxon Hill. Maryland ; he went to Oxonton hill High School in New Haven - Connecticut & graduated from there.","Alston was born on December 21, 1965, in Oxon Hill. Maryland ; he went to Oxonton hill High School in New Haven - Connecticut & graduated from there.","Alston graduated high school (Udd. he was 6 years old when LDLD was born in 1995/HELD) and graduated from Oxon Hill High School just two days after his big day (Dirty woke up DAYS ago on December 21st, the year AlTON was first born to Oxen Hill & Oxonton Hills in Oxe Hill, Maryland in the city of New Haven, Connecticut.","Alston graduated school (legill.) from Oxon Hill High School (New Haven (Cretts.Worther.Sc.We/KLIKK School) @ Oxoon hill, Maryland born December 21 1965 to Alsom D'Alston (Owyston High school) & Oxonald School of New Haven.","Ali no 1 born c.1965. on d.C. He was born in, on 21 june 1965 in the town of (oxyn hicks) in new york city, USA and was a student at the Roxon Hill High School, New Haven, CT, i think."
