Sentence,Paraphrase
 Yes . I like cooking very much . I got this hobby when I was 12 years sold . ,I have a passion for cooking and I started having a passion when I was sold 12 years ago.
 Why do you like it ? ,What is it about this that you find appealing?
 I have no idea . I like cooking by myself . I like to taste delicious food . ,I have no idea. I enjoy cooking on my own and relishing the taste of delectable dishes.
 That's wonderful ! ,That's awesome!
" And I love trying new recipes , which I usually test with my friends . You can come , too . ","I have a fondness for trying out new recipes, especially ones that I usually share with my friends. I welcome you to join me in this endeavor."
 Really ? I hope I can have a chance to taste it . Don't forget to tell me . ,Can you tell me if you can try it? I want to be able to taste it. Don't forget to let me know.
 Certainly . ,Certainly.
Anyone home ? Jen ! ,"Jen, are you still at home with anyone?"
 I'm in the kitchen ... let yourself in ! ,I'm in the kitchen... enter yourself!
 Wow ! You're really working up a storm ! ,hey there! You're doing really well!
 I know . I've even worked up a sweat . ,I've pushed myself to work out my sweat.
 You look like a cooking show host--only messier . ,"You're like a cast of a cooking show, but with a messier appearance."
You look so tan and healthy ! ,Stunningly tanned and healthy!
 Thanks . I just got back from summer camp . ,Thanks.. I just got home from summer camp and I feel much better.
 How was it ? ,What was your experience like?
 Great . I got to try so many things for the first time . ,I got to experiment with many things for the first time.
 Like what ? ,What is the question?
" I went sailing , fishing , and horseback riding . ","I engaged in sailing, fishing, and horseback riding."
 I ’ m so jealous . ,I'm feeling incredibly envious.
 The counselors were so nice too . It was the best summer ever . Except for all those mosquitoes ! ,"The summer was amazing, with only mosquitoes present."
"Diana , do you like the perfume I gave you ? ","Diana, do you like the scent I gave you?"
" It ’ s good . But to tell you the truth , I don ’ t wear perfume . ",It's good. But let's be honest - I don't even bother with perfumes.
 I ’ m sorry . I didn ’ t know that . ,I didn't realize until later that I had.
 That ’ s all right . Thank you all the same . ,That's all to myself. Thank you in advance.
"Ah , ah , ah ... ","Ah, ah, ah, ah..."
" All right , Bill.Here ' s your daily exercise schedule . You are to jog before breakfast . ","Bill, can you share your daily exercise routine with me? Specifically, you will be jogging before breakfast."
 Jog ? ,"What is the meaning of ""Jog""?"
" Then , you are to walk to work . ","Afterward, you must go to work by foot."
 Walk ? ,Walk?
 Thirty minutes in gym at lunch time . ,Thirty minutes in the gym during lunch time.
 Oh no . ,Oh no.
" Use the stairs , never the elevator . ","Never use the elevator, but instead use the stairs instead."
" Oh , dear . ","Oh, my goodness, what a relief."
" And three times a week , you can either swim , play racketball , or hand ball . ","Swimming, racketball, and hand ball are all options available, and you can swim or play them three times a week."
 Oh no . ,Oh no.
" OK , you can stop now.It ' s time for the dance class . ","OK, you can stop right away, but it's time to go to the dance class."
 Dance class ! I don't know how . ,I'm so excited to take a dance class! I don't even know how to do it.
 You will . ,You will.
 Oh ... ,Oh...
"Hi Bill , I saw your grandma yesterday . ","Bill, I noticed you today when you visited your grandmother."
 Oh where was that ? ,Where can I find that?
 I was running around the track at my college and there she was walking around the same track . ,I was running around the track at my college when she saw me walking around the same track and there she was.
 Grannie always tries to stay fit and healthy.She is always making us kids eat the proper foods . ,"Grannie is committed to staying healthy and in shape, and she is always urging her children to eat properly to maintain their fitness."
" Well , it pays off for her.How old is she anyway ? ",How old is she when she realizes that her efforts are being valued?
 She will be 86 next month . ,She will be 86 next month and has just turned.
 That is truly amazing ! ,That's simply amazing!
I would like to register for a class today . ,I am interested in taking a class today and would like to register.
" No problem , what class would you like to take ? ","I'm not a big fan of any specific classes, could you please inform me which ones you would like to take?"
 I would very much enjoy taking a Psychology class.Because I'm crazy . ,"I'm not sure how to handle taking a Psychology class, but I'm intrigued and wish to take it anyway because I'm feeling crazy."
 There are two classes that are still open . ,"Two classes are still open, and they are the second one."
 Which days are these classes on ? ,What are the days of the week for these classes?
 The first class is a Tuesday and Thursday class from two to three . ,Classes from two to three are held on Tuesdays and Thursdays in the first class.
 What about the other class ? ,What about the other class?
 The other class is on Monday and Wednesday from 10 am - 12 . ,The other class is available from 10 am to 12 pm on Monday and Wednesday.
 Are you sure there are no more open classes ? ,Are you convinced that there are no more open classes?
 I'm positive . ,I'm sure I can.
 Sign me up for Monday and Wednesday . ,Sign me up on Monday and Wednesday.
" Okay , I'll sign you up . ","OK, I'll give you a signed up pass."
"Dad , why are you taping the windows ? ","Dad, what is the purpose of you tapping the windows?"
" Honey , a typhoon is coming . ","A typhoon is approaching, honey be careful."
" Really ? Wow , I don't have to go to school tomorrow . ",Is it true that I won't have to go to school tomorrow?
" Jenny , come and help , we need to prepare more food . ","Jenny, please come and help us with the preparation of more food."
 OK . Dad ! I'm coming . ,"Dad, I'm coming over."
"Hi , my name is Lean , and I'm from Russia . ","Lean, my Russian name is Lean."
" Nice to meet you , Lean . My name is Alike . I'm from Japan . ","Hello, Lean. I'm from Japan and my name is Alike. Have a good time."
 To me English is a difficult language . ,"English seems like a tough language to master, at least to me."
 A second language is always difficult . ,The task of learning a second language is always a challenge.
" True , but English is harder than most . It's a crazy language . ","English is a language that's more challenging than most. It's a crazy language, but true."
 A crazy language ? Why do you say that ? ,What is a strange language? Why do you call it that?
 One letter can have several pronunciations and one word can have several meanings . ,A letter can have multiple pronunciations and a single word can have multiple meanings.
 No wonder you say English is a crazy language . ,"English is a language that you find very strange, no surprise to you."
Can I help you ? ,Is there any way I can assist you?
" I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . ",I'm in the process of researching and finding material for a paper I'm writing. I'm not sure where to look for materials.
 I'll certainly try to help you . What topic is your paper on ? ,I'll give it my all and assist you. What is the subject of your paper?
 My paper is on the influence of television on children . ,My article focuses on the impact of television on children.
 There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . ,"The computer can provide you with a list of scientific journals that cover the topic of children and television, among other options."
 Thank you for you help . ,Thank you for your help...
Here ’ s your hot dog and beer . What happened ? Did I miss anything ? ,Is there anything I missed out on? Is it hot dog and beer?
" Yeah , Cal Ripen just hit a home run . ","Cal Ripen's recent home run was a hit, and he's hitting a homer."
 What ’ s the score ? ,What is the score of this score?
" Well it was 3 to 4 , but Ripen ’ s home run made it 5 to 4 since another player was on first base . ","Ripen hit a home run that extended the score to 5 to 4, but the score was still 3 to 4 as someone else hit first base."
 So Baltimore is winning ? ,Is Baltimore winning or is Baltimore not winning?
 Right . ,Right.
 This is a really great place to watch a baseball game . ,This is an excellent spot to catch a baseball game.
" Yeah , there isn ’ t a bad seat in the place . ",There's no doubt that there is a decent seat available in the place.
" The fans are great here , too . Not like in Philadelphia . ","The fans are friendly and there's a lot of love here, but it's not as big of a deal as in Philadelphia."
 It was a great idea to spend a day watching a game . ,"I thought it would be great to watch a game for a day, and it was a great idea."
" Yeah , it reminds you why they say baseball is America ’ s favorite pastime . ","Baseball is considered by many to be America's beloved sport, and that statement brings me to the topic of why."
How do you like the pizza here ? ,What is your opinion about the pizza you have ordered here?
 Perfect . It really hits the spot . ,Perfectly executed. This is spot on.
Do you have a light ? ,Is there a light available in your house?
" Sorry , I don't smoke . ","I'm sorry, I don't smoke."
I was scared stiff of giving my first performance . ,I was terrified of performing for the first time because it was my first time.
 Were you ? your performance was excellent . ,Were you? Your performance was outstanding.
 Thank you for your kindly words . ,Thank you very much for your kind words.
Excuse me . Could you please take a picture of us with this camera ? ,Can you please take a picture of us with this camera?
 Sure . Which button do I press to shoot ? ,I'm not sure which button to shoot. Can you tell me?
 This one . ,This one.
 Do I have to focus it ? ,Is it necessary for me to concentrate on it?
" No , this is a focus-free camera . All you have to do is point and press the button . ","This camera is not focused, so all you need to do is point and press the button to use the focus feature."
 All right . Say cheese ! ,Cheese!
Every country should face the history . ,Every country should be compelled to face the consequences of their own history.
" Yeah , we don ’ t live in the vacuum . We have traditional values and long but different history . ","We have a long and varied history and traditional values, but we don't live in a vacuum."
" Sometimes , we , human beings , really had done something wrong , so we should admit it at first . ","Sometimes, we as humans have made mistakes, and we may not be ready to accept it at first."
 But there is always somebody who wants to turn his back on the true history . ,"Nevertheless, there is always someone who wishes to turn their back on the genuine history."
" I believe such things won ’ t be realized , just daydreaming . ","I don't think such things will ever be real, it's just a figment of our imagination."
"Do you like traveling , Kathy ? ","Kathy, do you have a preference for traveling?"
" I like traveling for pleasure to get places for vacation for instance . But I don ’ t like traveling to work , waiting for buses , or ... ","I enjoy traveling to exotic destinations, but I don’t like going to work, waiting for cabs, or any other form of transportation."
 Or getting stuck in traffic jams when you ’ re driving . ,Getting stuck in traffic jams while driving can be just as frustrating as it is being driven.
 Exactly . ,"Correctly, yes."
Your house is too small . Why not buy a big one . ,Your house is too small. Why not buy a big one instead?
 I do wish I could afford one . ,I wish I had the means to buy one.
 You can get a loan from the bank . You know LPF program provides low cost loans for participants home purchases . ,"Banks can provide loans to eligible individuals through the LPF program, which offers low-cost loans for home purchases."
 Of course I know that . But don't you notice that the house price is skyrocketing ? ,"I know it's true, but the house price is going up in the market. Don't you think it's the same for the house price?"
"How do you do , Prof.Smith . ",Prof.Smith: What are your techniques?
" How do you do , Ms . Yang.You speak very good English . ","Ms. Yang, what is your English proficiency?"
 Thank you . I begin to like English even when I was a child . ,"English language has always been a part of my life, and I appreciate your efforts."
 Where did you learn it ? ,Where did you gain the knowledge you are currently seeking?
" At school , in China.This is my first time to be out of my own country . ","I'm currently in China as a student, and this is the first time I've been outside of my home country."
 It's amazing . ,It's fantastic.
Do you want black or white coffee ? ,"Which coffee variety do you prefer, black or white?"
" White , please ","White, please see White, please see White, please see White, please see White, please see White, please see White, please see White, please see White, please see White, please see White, please see White, please see White, formerly White, relating to the subject - the image - is an image of the original White, which was captured on a map of Canada's territory"
 Look ! there's a Folk concert tomorrow evening . Do you Want to go ? ,Folk music: Tomorrow evening - can you make it to a Folk concert?
 I don't like Folk music very much . ,"Folk music isn't my cup of tea, as I find it unappealing."
 What kind of music do you like ? ,What type of music do you enjoy listening to?
 I like classical music . Do you ? ,Is classical music a genre of music that you find appealing?
 Not very much . Classical music sends me to sleep ,"Classical music notwithstanding, I find myself falling asleep after a night of heavy listening."
 I don't believe you . ,I doubt your sincerity.
 It ’ s true . ,It’s accurate.
 You are funny ! ,Laughing at yourself!
 So are you ! How about another coffee ? ,So are you!!!.. Wanted another cup of coffee!!
What do you like to do in your spare time ? ,What is your favorite way to spend your leisure time?
 I like playing chess . ,Chess is one of my preferred games to play.
 Do you have any hobbies besides playing chess ? ,"Apart from playing chess, do you have any other hobbies or pastimes?"
 I'm afraid not . ,I'm afraid I don't.
 Do you have any hobbies like playing tennis or things like that ? ,Are you into playing tennis or doing anything else similar to tennis?
" Oh , yes . I like playing basketball . ","Oh, absolutely! I have a passion for basketball."
 Can you tell me why you like it ? ,What is the reason behind your fondness for it?
 Because I like the feeling of cooperating with others . ,I find satisfaction in working with others because I enjoy the feeling of helping others.
Where is John ? I can't find him anywhere . ,John is missing. Can you tell me where he is? I can't seem to find him.
 Haven't you heard that he is in prison ? ,"He's in jail, isn't it?"
 What ? Beg your pardon . ,Let us grant you a pardon.
 John is in prison now . He was copped outstealing . ,John is currently in jail despite being a thief who was arrested by a police officer for theft.
 I just cann't believe my ears ! ,I can't believe my ears!
Can I help you ? ,Is there any way I can assist you?
" I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . ",I'm in the process of researching and finding material for a paper I'm writing. I'm not sure where to look for materials.
 I'll certainly try to help you.What topic is your paper on ? ,I'll do my best to assist you. What topic would you recommend for your paper?
 My paper is on the influence of television on children . ,My article focuses on the impact of television on children.
 There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . ,"The computer can provide you with a list of scientific journals that cover the topic of children and television, among other options."
 Thank you for you help . ,Thank you for your help...
"Hey , Ted . What are you up to this Friday ? ","Ted, what are you up to on Fridays?"
" Well , I have the day off from work . ","I have a day off from work, so I can focus on my studies."
 That ’ s great ! Do you have any plans ? ,That's great news! Can you tell me what you have planned for today?
" Well , I ’ Ve been working so hard lately , so I ’ ll probably just take it easy . ",I'll probably take a break from working hard since I've been working lately.
 Sounds nice . ,"Nice sounds, folks."
" Yeah , I ’ ll probably just stay in and relax . Maybe watch a few movies . ","I'll probably just sit back and enjoy myself, maybe watching a few movies."
 Can I stop by ? ,Would you mind dropping by?
 Sure . Any time . ,Anytime. Sure. Sure. Any time.
You honestly believe the world ’ s improving every year ? ,"Do you really think that the world is getting better every year, as you've heard?"
" Yes , I do . I think that science is making us wiser . What do you think ? ",Science is making us wiser. Do you agree with me?
 I don ’ t think you ’ re right there . ,There's no way you're even in there.
 I believe industry is making us wealthier . ,Industry is a driver of our economic progress.
 I don ’ t believe that . ,I don’ t think that...
" And in my opinion , medicine is making us healthier . ",I believe that medicine is actually making us feel better.
" I agree with you in the sense . But we ’ re all more miserable than ever , aren ’ t we ? ","I share your sentiment, but I think we're all experiencing more misery right now, isn't it?"
" I don ’ t agree with you . I maintain that we ’ re healthier , wealthier and wiser than we were a hundred years ago . ","I disagree with you. I believe that we are now smarter, wealthier, and healthier than we were 100 years ago."
 That ’ s your opinion not mine . ,I'm not in agreement with that.
What do you plan to do for your birthday ? ,What are your plans for your birthday celebration?
" I want to have a picnic with my friends , Mum . ",Mum and I are planning a picnic and want to share it with our friends.
 How about a party at home ? That way we can get together and celebrate it . ,Is it possible to have a party at home and have it organized for us to enjoy?
" OK , Mum . I'll invite my friends home . ","Mum, I'll be extending an invitation to my friends."
How may I help you ? ,In what ways can I assist you?
 I would like to return this book . ,I want to give this book back.
 Is that all you need ? ,Is that all you require?
 I also want to check out this video . ,I also want to watch this video.
 Is that all you would like to check out ? ,Would you like to see all of this?
 That ’ s all I need . ,That's all I require.
 Do you have your library card ? ,Have you possessed your library card?
 Here it is . ,Here it is.
 Make sure to take proper care of this video . ,Ensure that you maintain the care required for this video.
 That won ’ t be a problem . ,There won't be any issue with that.
" If you damage the video , you will be fined . ",A fine may be imposed if you cause damage to the video recording.
 I won ’ t damage it . ,I won’t break it.
What's the matter with you then ? You look miserable . ,What's the problem with you then? You look gloomy.
 It's us . ,We.
 What do you mean by us . ,"What is your interpretation of the term ""us""?"
" Well , you always say you're busy . ","You keep claiming to be busy, right?"
 That's right . ,That's correct...
 And you often go back to live with your parents and leave our son in the room by himself . ,"Often, you go back to live with your parents and leave our son alone in the room."
" I ... I ... I miss my parents , also they miss me . ",I... I... I miss my parents... I miss my parents too.
" Oh I remember , I cut terrible calls , and you didn't say anything about it . ","Oh, I just remember, I made these awful calls, and you didn't even answer."
 You mean I am groaned a few words ? ,Is it just me or do you think I'm going to cry for a few words?
 Totally not . Perhaps it's about our marriage . ,Totally not. Maybe it's about our marriage.
"Hi , Mary . You look pale today . What's the matter with you ? ","Mary, I noticed you're pale today. What's the issue?"
 I think I've caught a cold . Now I'm aching all over . ,I believe I've been sick with a cold. Now I'm feeling a lot of pain all over my body.
 You'd better take some medicine and have a good rest . I hope you'll be yourself pretty soon . ,I suggest you take some medicine and have a good night's sleep. I hope you're feeling better soon.
 Thank you . I suppose I should go to see a doctor . ,I appreciate it. It would be helpful for me to visit a doctor.
"I feel like going for a drink , it's been a long day . ","I want to have a drink, it's been a long day."
" Great idea ! Peter , I could use the drink . ",Great idea! Thanks Peter - I might have to try that drink!
 How about the new bar across road ? ,What about the new bar on the other side of the road?
" Sounds good . The food there is fantastic , too . ",The food at that place is simply mouth-watering — what a great meal it is.
" I agree , I had lunch there last week . ","I concur, I had lunch there last week."
 excellent ! That sounds like a plan . ,Excellent! That sounds like a plan.
"Could you tell me the right time , please ? ",Can you inform me of the correct time?
 Well . My watch says five past two . But it ’ s no use rely on it because it has been gaining and losing these last a few days . ,"My watch has been fluctuating for the past few days, and although it says five past two, it's not worth relying on it."
 You have to go and fix it . ,It's your responsibility to mend it.
 Yes . I will . ,Yes. I will.
does your family have a record of your ancestors ? ,Are there any records in your family that reveal the ancestors of your lineage?
 sure . My mom has been working on our family tree for years . She ’ s always updating it . ,My mom has been working hard for years to update our family tree. I can honestly say that she's a pro at it.
 do you have a copy of your family tree in your house ? I ’ d love to see it . ,Do you keep a copy of your family tree in your house? I’d like to see a copy.
" I can show it to you now , if you like . I think it goes back about 8 generations so far . ","I would be happy to show you it now, if you want to see it. I believe it has been around for 8 generations."
 that ’ s amazing . Do you have a large extended family ? ,"I'm wondering if you have a large extended family, can you share that with us?"
 I ’ Ve got 30 cousins on my mom ’ s side and 10 cousins on my dad ’ s side . ,I'Ve got 30 cousins on my mom’s side and 10 on my dad’s side.
 are you very close to your first-cousins ? ,Are you very close to your first-born partner?
" the ones that are my age are close relatives . Now that I ’ m older , I don ’ t spend as much time with them as I used to , so I don ’ t know my younger cousins as well as the older ones . ",I don’t get to see my cousins who are older than me because they are close relatives who used to be a few years older than me.
 I see . who ’ s the head of your household ? ,Who is the person responsible for managing your household?
" it ’ s definitely my mother . And , her mother is definitely the matriarch of the bigger family . ","My mother is undoubtedly my mother, and her mother is the matriarch of the larger family."
 that ’ s interesting . What does your grandfather think of your step-mother ? ,What is your grandfather's opinion on your step-mother?
" at first , she was quite critical of her , but now that they ’ Ve been married for a few years , she ’ s starting to accept the fact that my father divorced my mother . ","She used to be quite critical of me – but now that they’ve been married for a couple of years, she’s starting to come to terms with the fact that my father divorced my mother."
" that ’ s pretty much how you feel about your step-mother . Like grandmother , like grandson . ","Step-mothers are often seen as being in the same category as grandmother or grandson, and that's pretty much how you feel about them."
"Hi , Mr . Wang . Do you feel like going boating with me ? ","Hi Mr. Wang, would you be open to embarking on a boat trip with me?"
" Sounds interesting , I haven't gone boating for some time now , and what time ? ","I've been boating for a while now, but I'm not sure when I'll be able to go back. Does that sound interesting?"
 How about tomorrow afternoon ? ,"Tomorrow afternoon, what will be interesting?"
 Sure . Where shall I meet you ? ,Sure. Where can I find you?
 At the gate of the park . ,At the park's entrance.
 Great . I look forward to meeting you . ,Great. I'm eagerly anticipating the chance to meet you.
 See you then . ,"Good luck, dear."
 See you . ,Good luck.
I hear that you've been to the Saikei Ski Resort for the weekend . Did you enjoy it ? ,Did you have a great time at Saikei Ski Resort over the weekend?
" Yes , it's so exciting , though I had the most falls in our skiing team . ","Despite having the most falls among the skiers, it's still exhilarating."
 Isn't there any coach to teach you how to ski ? ,Skilehrer? Is there anyone who can teach you?
 Of course there is . The top-level coaches there are from the State Sports General Administration . ,The State Sports General Administration is the source of the top-notch coaches there.
 Could you move smoothly ? ,Can you make yourself move without any difficulty?
 Yes.My face even ached in the icy wind . ,"Yes, even in the cold wind, my face shivered and itched."
 What happened afterwards ? ,What transpired after the event?
 I was skiing on and on excitedly until I realized one thing-I could not stop ! You can just imagine how terrified I was . ,I was skiing all day when I realised something was wrong-I couldn't stop! (You can't imagine how terrified I must have been!)
 Poor girl ! ,Poor girl!
You look pale recently . ,You've appeared pale lately.
 Yeah . I have got much pressure in the company . I have tobe wrapped upon my work . ,I am under a lot of pressure in the company. I have to be wrapped up at work.
 Take good care of yourself . ,Ensure that you are taking care of yourself.
 Thank you . I will . ,Thank you very much. I will do everything possible for you.
"Hey , Maggy , Did you hear about David ? ","Hi Maggy, did you know about David?"
" About David ? No , I didn ’ t hear anything . ",I didn't hear anything about David.
" You know , about David and his new boss . ",David's new boss is the subject of discussion.
" Sorry , I don ’ t quite follow you . ","I'm not a fan of your work, sorry."
" Well , I heard David has been fired . ","David has been dismissed, as per my knowledge."
" Oh , that is a shame . He is really hard working . ","I am sorry, that's a shame - he's been working so hard."
how do you usually get to school ? ,What is your usual mode of transportation to school?
 I usually ride my bike . Which form of transport do you prefer to use ? ,What is your preferred means of transportation?
