Sentence,Formal_10
" We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful . ","We took her to the room and shared our feelings about her constant criticism, and we welcomed her advice but hoped she would allow us to proceed. She understood, which has since become more peaceful."
 That sounds like a good idea . I'll have to try that . ,I'll have to give that a try. That sounds like swiss spiel. Thanks.
How are Zina's new programmers working out ? ,"Zina's latest programmers, how are they faring?"
" I hate to admit it , but they're good . And fast . The Filipino kid is a genius . ","Despite my reluctance, I can't say without saying that they're good. And they come in so fast. The Filipino kid is a prodigy."
" So you'll make the Stars.com deadline , and have us up and running next week ? ",Can you convince us to open Stars.com before the deadline next week?
" It'll be close , but we'll make it . ","We'll make it, but it's a close call."
" Good . After Stars.com starts paying us , we won't need Vikam's cash anymore . ","Stars.com has started paying Vikam's cash, so we won't need to worry about it anymore."
" And if we don't need them , we won't need Zina , either . ",Zina won't be necessary if we don'' not require them.
Do you like cooking ? ,Are you fond of cooking?
 Yes . I like cooking very much . I got this hobby when I was 12 years sold . ,I have a passion for cooking and I started having sex when I was 12 years old and sold my hobby.
 Why do you like it ? ,What is it about this that you find appealing?
 I have no idea . I like cooking by myself . I like to taste delicious food . ,I have no idea. I enjoy cooking by myself.I like to taste delectable food..
 That's wonderful ! ,That's fantastic!
" And I love trying new recipes , which I usually test with my friends . You can come , too . ","I have a fondness for trying out new recipes, especially ones that I usually share with my friends. I welcome you to join me in this endeavor."
 Really ? I hope I can have a chance to taste it . Don't forget to tell me . ,Can you tell me if you can try it? I want to be able to taste it. Don't forget to let me know.
 Certainly . ,Certainly.
Anyone home ? Jen ! ,"Jen, are you still at home with anyone?"
 I'm in the kitchen ... let yourself in ! ,I'm not in the kitchen - come and see me in it : Vivre?
 Wow ! You're really working up a storm ! ,": Oh wow, you're so talented!"
 I know . I've even worked up a sweat . ,I've pushed myself to work out my sweat.
 You look like a cooking show host--only messier . ,You're like a presenter on NBC - but with fewer distractions.
You look so tan and healthy ! ,Stunningly tanned and healthy!
 Thanks . I just got back from summer camp . ,"Thanks. : I just got home from summer camp and I really appreciate it, many th owe you a lot!"
 How was it ? ,What was your experience like?
 Great . I got to try so many things for the first time . ,I had the opportunity to experiment with many things for the first time.
 Like what ? ,What is the question?
" I went sailing , fishing , and horseback riding . ","I engaged in sailing, fishing, and horseback riding."
 I ’ m so jealous . ,I'm feeling incredibly envious.
 The counselors were so nice too . It was the best summer ever . Except for all those mosquitoes ! ,"The summer was fantastic, with mosquitoes being the only thing that could kill me."
"Diana , do you like the perfume I gave you ? ","Diana, do you like the scent I gave you?"
" It ’ s good . But to tell you the truth , I don ’ t wear perfume . ","It's a good idea. However, I don't really wear perfume."
 I ’ m sorry . I didn ’ t know that . ,I didn't realize until later that I had.
 That ’ s all right . Thank you all the same . ,That's correct. Thank you very much.
"Ah , ah , ah ... ","Ah, ah. : hh, sh ; dh sh sh."
" All right , Bill.Here ' s your daily exercise schedule . You are to jog before breakfast . ","Bill, can you share your daily exercise routine with me? Specifically, you will be jogging before breakfast."
 Jog ? ,"What is the meaning of ""Jog""?"
" Then , you are to walk to work . ","Afterward, you must go to work by foot."
 Walk ? ,Walk a?
 Thirty minutes in gym at lunch time . ,Thirty minutes in the gym during lunch time.
 Oh no . ,Oh no.
" Use the stairs , never the elevator . ",Always use the stairs instead of the elevator.
" Oh , dear . ","Oh, my goodness, what a relief."
" And three times a week , you can either swim , play racketball , or hand ball . ","Three times a week, you can choose to swim, racketball, or handball as your leisure activity, and more."
 Oh no . ,Oh no.
" OK , you can stop now.It ' s time for the dance class . ","OK, you can stop right away, but it's time to go to the dance class."
 Dance class ! I don't know how . ,I'll have to take a dance class - I don't know how to do that.
 You will . ,You will.
 Oh ... ,Oh.
"Hi Bill , I saw your grandma yesterday . ","Bill, I noticed you today when you visited your grandmother."
 Oh where was that ? ,Where can I find that?
 I was running around the track at my college and there she was walking around the same track . ,I was frantically running along the track at my college while she was walking along it.
 Grannie always tries to stay fit and healthy.She is always making us kids eat the proper foods . ,"Grannie is committed to staying healthy and in shape, and she is always urging her children to eat properly to maintain their fitness."
" Well , it pays off for her.How old is she anyway ? ",I think she'll be able to make a good income. How old is she?
 She will be 86 next month . ,She will be 86 next month and has just turned.
 That is truly amazing ! ,That's simply amazing!
I would like to register for a class today . ,I am interested in taking a class today and would like to register.
" No problem , what class would you like to take ? ","I'll be glad to help you decide on a course to study, but I can't say the class you're interested in. What's your favorite?"
 I would very much enjoy taking a Psychology class.Because I'm crazy . ,"I'd be incredibly keen to take a Psychology class, but I don't know if I would be cool enough to participate."
 There are two classes that are still open . ,"Two classes are still open, and they are the second one."
 Which days are these classes on ? ,What are the days of the week for these classes?
 The first class is a Tuesday and Thursday class from two to three . ,Classes from two to three are held on Tuesdays and Thursdays in the first class.
 What about the other class ? ,What about the other class?
 The other class is on Monday and Wednesday from 10 am - 12 . ,The other class is available from 10 am to 12 pm on Monday and Wednesday.
 Are you sure there are no more open classes ? ,Are you convinced that there are no more open classes?
 I'm positive . ,I'm confident that...
 Sign me up for Monday and Wednesday . ,Be on my schedule for Monday and Wednesday.
" Okay , I'll sign you up . ","OK, I'll give you a signed up pass."
"Dad , why are you taping the windows ? ","What is the reason for you tapping the windows, Dad?"
" Honey , a typhoon is coming . ","A. tychone is coming - honey, bear with me a bit ht."
" Really ? Wow , I don't have to go to school tomorrow . ",Is it true that I won't have to go to school tomorrow?
" Jenny , come and help , we need to prepare more food . ","Join us as we prepare more food, thanks to Jenny's help."
 OK . Dad ! I'm coming . ,"OK. Dad'I'm coming, okay!"
"Hi , my name is Lean , and I'm from Russia . ","Lean, my Russian name is Leban and I am from Russia."
" Nice to meet you , Lean . My name is Alike . I'm from Japan . ","Hello, Lean. I'm from Japan and my name is Alike - I met you guys : hehe. Have a good time, mate?"
 To me English is a difficult language . ,"English seems like a tough language to master, at least to me."
 A second language is always difficult . ,The task of learning a second language is always arduous.
" True , but English is harder than most . It's a crazy language . ","English is a language that's more challenging than most. It'll be tough, but true."
 A crazy language ? Why do you say that ? ,A language that's incredibly strange? Why do you call it that?
 One letter can have several pronunciations and one word can have several meanings . ,A letter can have multiple pronunciations and a single word can hold multiple meanings.
 No wonder you say English is a crazy language . ,"English is a language that you find very strange, no surprise to you."
Can I help you ? ,Is there any way I can assist you?
" I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . ",I'm writing a research project on entrepreneurship and sustainability and need ideas for where and how to find it.
 I'll certainly try to help you . What topic is your paper on ? ,I'll give my best shot at helping you. What is your paper topic?
 My paper is on the influence of television on children . ,My article focuses on the impact of television on children.
 There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . ,"The computer can provide you with a list of scientific journals that cover the topic of children and television, among other options."
 Thank you for you help . ,Thank you for your help...
Here ’ s your hot dog and beer . What happened ? Did I miss anything ? ,Is there anything I missed out on? I'm curious about what happened between hot dogs and beer.
" Yeah , Cal Ripen just hit a home run . ","A home run was hit by Cal Ripen, and he had a great game."
 What ’ s the score ? ,What is the score of this score?
" Well it was 3 to 4 , but Ripen ’ s home run made it 5 to 4 since another player was on first base . ",Ripen's home play tied the score at 3 to 4 but Rip could have hit it home first because another player was on first base and the pitch was made 5 to 4.
 So Baltimore is winning ? ,Is Baltimore winning or is Baltimore not winning?
 Right . ,Correct.
 This is a really great place to watch a baseball game . ,This is an excellent spot to catch a baseball game.
" Yeah , there isn ’ t a bad seat in the place . ",There's no doubt that there is a decent seat available in the place.
" The fans are great here , too . Not like in Philadelphia . ","The fans are friendly and there's a lot of love here, but it'll be sournier than Philadelphia."
 It was a great idea to spend a day watching a game . ,"I had the ideal day watching a game, and it was deemed advisable."
" Yeah , it reminds you why they say baseball is America ’ s favorite pastime . ","Baseball is considered by many to be America's beloved sport, and that statement brings me to the topic of why."
How do you like the pizza here ? ,What is your opinion about the pizza you have ordered here?
 Perfect . It really hits the spot . ,Perfectly executed. This is spot on.
Do you have a light ? ,Are you equipped with a light?
" Sorry , I don't smoke . ","I've been avoiding smoking, so I apologize."
I was scared stiff of giving my first performance . ,I was terrified of performing for the first time because it was my first performance.
 Were you ? your performance was excellent . ,Were you? Your performance was outstanding.
 Thank you for your kindly words . ,Thank you very much for your kind words.
Excuse me . Could you please take a picture of us with this camera ? ,Can you please take a picture of us with this camera?
 Sure . Which button do I press to shoot ? ,"I've been told that I can shoot, but I don't know which button to press. Which one of the buttons will shoot?"
 This one . ,This one.
 Do I have to focus it ? ,Is it necessary for me to concentrate on it?
" No , this is a focus-free camera . All you have to do is point and press the button . ","This camera is not focused, so all you need to do is point and press the button to use the focus feature."
 All right . Say cheese ! ,"Good day, I'll just say something nice about cheese."
Every country should face the history . ,Every country should be compelled to face the consequences of their own history.
" Yeah , we don ’ t live in the vacuum . We have traditional values and long but different history . ","We have a long and varied history and traditional values, but we don't live in emptiness."
" Sometimes , we , human beings , really had done something wrong , so we should admit it at first . ","Sometimes, we as humans have made mistakes, and we may not be ready to accept it at first."
 But there is always somebody who wants to turn his back on the true history . ,"Nevertheless, there is always someone who wishes to turn their back on the genuine history."
" I believe such things won ’ t be realized , just daydreaming . ","I have a feeling that these things are unreal, and I believe they are just imaginable."
"Do you like traveling , Kathy ? ","Kathy, do you have a preference for traveling?"
" I like traveling for pleasure to get places for vacation for instance . But I don ’ t like traveling to work , waiting for buses , or ... ","I enjoy traveling to exotic destinations, but I don’t like going to work, waiting for cabs, or any other form of transportation."
 Or getting stuck in traffic jams when you ’ re driving . ,Getting behind the wheel while driving or being stuck in traffic jams.
 Exactly . ,"Correctly, yes."
Your house is too small . Why not buy a big one . ,Your house is too small. Why not buy a big one instead?
 I do wish I could afford one . ,I wish I had the means to buy one.
 You can get a loan from the bank . You know LPF program provides low cost loans for participants home purchases . ,The LPF program offers low-cost loans for home purchases. Banks offer loans to eligibleborrowers.
 Of course I know that . But don't you notice that the house price is skyrocketing ? ,"I understand your point about how much the house price is going up in the market, but I'm also aware that it's going to be a significant increase."
"How do you do , Prof.Smith . ",Prof.Smith: What are your techniques?
" How do you do , Ms . Yang.You speak very good English . ","Ms. Yang, what is your English proficiency?"
 Thank you . I begin to like English even when I was a child . ,"English language has always been a part of my life, and I appreciate your efforts."
 Where did you learn it ? ,Where did you gain the knowledge you are currently seeking?
" At school , in China.This is my first time to be out of my own country . ","I've just returned from a long-haul school trip to China, where I study in China."
 It's amazing . ,It's fantastic.
Do you want black or white coffee ? ,"Which coffee variety do you prefer, black or white?"
" White , please ","White, please see White's details."
 Look ! there's a Folk concert tomorrow evening . Do you Want to go ? ,Folk music: Tomorrow evening - can you make it to a Folk concert?
 I don't like Folk music very much . ,Folk music isn't my favorite genre of music.
 What kind of music do you like ? ,What type of music do you enjoy listening to?
 I like classical music . Do you ? ,Is classical music a genre of music that you find appealing?
 Not very much . Classical music sends me to sleep ,"Classical music notwithstanding, I find myself falling asleep after a night of heavy listening."
 I don't believe you . ,I doubt your sincerity.
 It ’ s true . ,It’s accurate.
 You are funny ! ,"Despite being funny, you are funny!"
 So are you ! How about another coffee ? ,So are you! Do you have a coffee?
What do you like to do in your spare time ? ,What is your favorite way to spend your leisure time?
 I like playing chess . ,Chess is one of my preferred games to play.
 Do you have any hobbies besides playing chess ? ,"Apart from playing chess, do you have any other hobbies or pastimes?"
 I'm afraid not . ,I'm afraid I don't.
 Do you have any hobbies like playing tennis or things like that ? ,Are you into playing tennis or doing anything else similar to tennis?
" Oh , yes . I like playing basketball . ",I have a passion for basketball.
 Can you tell me why you like it ? ,What is the reason behind your fondness for it?
 Because I like the feeling of cooperating with others . ,I find satisfaction in working with others because I enjoy the feeling of helping others.
Where is John ? I can't find him anywhere . ,John is missing. Can you tell me where he is? I can't seem to find him.
 Haven't you heard that he is in prison ? ,"He's been incarcerated, aren't you aware that he're in jail?"
 What ? Beg your pardon . ,Let us grant you a pardon.
 John is in prison now . He was copped outstealing . ,John is currently in jail despite being a thief who was arrested by prosecutors for theft.
 I just cann't believe my ears ! ,I'm having a recollection that my ears are blown out of place!
Can I help you ? ,Is there any way I can assist you?
" I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . ",I'm writing a research project on entrepreneurship and sustainability and need ideas for where and how to find it.
 I'll certainly try to help you.What topic is your paper on ? ,I'll give my best shot at helping. What is your topic for your paper?
 My paper is on the influence of television on children . ,My article focuses on the impact of television on children.
 There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . ,"The computer can provide you with a list of scientific journals that cover the topic of children and television, among other options."
 Thank you for you help . ,Thank you for your help...
"Hey , Ted . What are you up to this Friday ? ","Hi there, what's your plan for Friday?"
" Well , I have the day off from work . ","I have a day off from work, so I can focus on my studies."
 That ’ s great ! Do you have any plans ? ,That's great news! Can you tell me what you have planned for today?
" Well , I ’ Ve been working so hard lately , so I ’ ll probably just take it easy . ",I'll probably take a break from working hard since I haven't been very active lately.
 Sounds nice . ,"Sounds great, huh?"
" Yeah , I ’ ll probably just stay in and relax . Maybe watch a few movies . ","I'll probably take a break and unwind, maybe watching lingering movies."
 Can I stop by ? ,Would you mind dropping by?
 Sure . Any time . ,Anytime. Sure. Any time.
You honestly believe the world ’ s improving every year ? ,"Do you really think that the world is getting better every year, as you've heard?"
" Yes , I do . I think that science is making us wiser . What do you think ? ",Science is making us wiser. Do you agree with me?
 I don ’ t think you ’ re right there . ,"There's no way you're even in that situation, I don't think you were right there."
 I believe industry is making us wealthier . ,Industry is a driver of our economic progress.
 I don ’ t believe that . ,I doubt that...
" And in my opinion , medicine is making us healthier . ",I believe that medicine is actually making us feel better.
" I agree with you in the sense . But we ’ re all more miserable than ever , aren ’ t we ? ","I share your sentiment, but I think we're all experiencing more misery right now, isn't it?"
" I don ’ t agree with you . I maintain that we ’ re healthier , wealthier and wiser than we were a hundred years ago . ","I disagree with you. I believe that we are now smarter, wealthier, and healthier than we were 100 years ago."
 That ’ s your opinion not mine . ,"Your opinion is mine, not your own."
What do you plan to do for your birthday ? ,What are your plans for your birthday celebration?
" I want to have a picnic with my friends , Mum . ",I am looking forward to a picnic with my Mum and my friends.
 How about a party at home ? That way we can get together and celebrate it . ,Is it possible to have a party at home and have it organized for us to enjoy?
" OK , Mum . I'll invite my friends home . ","OK, Mum. I'll bring my friends home - Mum's ok."
How may I help you ? ,In what ways can I assist you?
 I would like to return this book . ,I want to give this book back.
 Is that all you need ? ,Is that the only thing required for?
 I also want to check out this video . ,I also want to watch this video.
 Is that all you would like to check out ? ,Would you like to see all of this?
 That ’ s all I need . ,That's the sole requirement I'll encounter.
 Do you have your library card ? ,Have you possessed your library card?
 Here it is . ,Here it is.
 Make sure to take proper care of this video . ,Ensure that you maintain the care required for this video.
 That won ’ t be a problem . ,There won't be any issue with that.
" If you damage the video , you will be fined . ",A fine may be imposed if you cause damage to the video recording.
 I won ’ t damage it . ,I will not break it.
What's the matter with you then ? You look miserable . ,"What's the problem with you? You seem like a failure, right?"
 It's us . ,We.
 What do you mean by us . ,Can you explain the meaning of us?
" Well , you always say you're busy . ","You keep claiming to be busy, right?"
 That's right . ,That's correct...
 And you often go back to live with your parents and leave our son in the room by himself . ,"Often, you go back to live with your parents and leave our son alone in the room."
" I ... I ... I miss my parents , also they miss me . ",I. am so filled with the feeling that I am going to miss my parents and they are going going places that they miss me.
" Oh I remember , I cut terrible calls , and you didn't say anything about it . ","Oh, I remember, after I made some terrible calls, you didn't even answer."
 You mean I am groaned a few words ? ,Can you give me a brief description of what I am feeling like?
 Totally not . Perhaps it's about our marriage . ,Totally not. Maybe it's about our marriage...
"Hi , Mary . You look pale today . What's the matter with you ? ","Mary, I noticed you're pale today. What's the issue?"
 I think I've caught a cold . Now I'm aching all over . ,I believe I've been sick with a cold. Now I have aching muscles all over my body.
 You'd better take some medicine and have a good rest . I hope you'll be yourself pretty soon . ,I suggest you take some medicine and have a good night's sleep. I hope you're feeling better soon.
 Thank you . I suppose I should go to see a doctor . ,I appreciate your response. I think I should visit a doctor.
"I feel like going for a drink , it's been a long day . ","I want to have a drink, it's been rained in already, the day has been long."
" Great idea ! Peter , I could use the drink . ","Great idea! I might have to have the drink, Peter - thanks a lot."
 How about the new bar across road ? ,What about the new bar on the other side of the road?
" Sounds good . The food there is fantastic , too . ",The food at that place is simply mouth-watering — what a great meal it is.
" I agree , I had lunch there last week . ","I concur, I had lunch there last week."
 excellent ! That sounds like a plan . ,Excellent! That sounds like a plan.
"Could you tell me the right time , please ? ",Can you inform me of the correct time?
 Well . My watch says five past two . But it ’ s no use rely on it because it has been gaining and losing these last a few days . ,"My watch has been fluctuating for the past few days, and although it says five past two, it's not worth relying on it."
 You have to go and fix it . ,It's your responsibility to mend it.
 Yes . I will . ,Yes. I will - I said if you can.
does your family have a record of your ancestors ? ,Are there any records in your family that reveal the ancestors of your lineage?
 sure . My mom has been working on our family tree for years . She ’ s always updating it . ,My mother has been working hard for years to update our family tree. It's a family affair that makes me feel like we're in the same boat.
 do you have a copy of your family tree in your house ? I ’ d love to see it . ,Do you keep a copy of your family tree in your house? I’d like to see if you could send me sifty copies.
" I can show it to you now , if you like . I think it goes back about 8 generations so far . ","I would be happy to show you it now, if you want to see it. I believe it has been around for 8 generations."
 that ’ s amazing . Do you have a large extended family ? ,I'll be grateful for it. Do you have a large extended family?
 I ’ Ve got 30 cousins on my mom ’ s side and 10 cousins on my dad ’ s side . ,I'Ve had thirty cousins on my mother's side and 10 on her father' s.
 are you very close to your first-cousins ? ,Are you very close to your first-born partner?
" the ones that are my age are close relatives . Now that I ’ m older , I don ’ t spend as much time with them as I used to , so I don ’ t know my younger cousins as well as the older ones . ","My closest relatives are close relatives of my own age, but as I’m getting older, I don’t get to know my younger cousins as well as the older ones."
 I see . who ’ s the head of your household ? ,Can you identify the person who oversees your household?
" it ’ s definitely my mother . And , her mother is definitely the matriarch of the bigger family . ","My mother is undoubtedly my mother, and her mother's lineage is rooted in the larger family."
 that ’ s interesting . What does your grandfather think of your step-mother ? ,What is your grandfather's opinion on your step-mother?
" at first , she was quite critical of her , but now that they ’ Ve been married for a few years , she ’ s starting to accept the fact that my father divorced my mother . ","She used to be quite critical of me – but now that they’ve been married for a couple of years, she’s starting to come to terms with the fact that my father divorced my mother."
" that ’ s pretty much how you feel about your step-mother . Like grandmother , like grandson . ","Step-mothers are often seen as being in the same category as grandmother or grandson, and that's pretty much how you feel about them."
"Hi , Mr . Wang . Do you feel like going boating with me ? ","Hi Mr. Wang, would you be open to embarking on a boat trip with me?"
" Sounds interesting , I haven't gone boating for some time now , and what time ? ","I've been boating for a while now, but I haven't been since. When is the best time to go boat fishing?"
 How about tomorrow afternoon ? ,"Tomorrow afternoon, what will be interesting?"
 Sure . Where shall I meet you ? ,I'll be glad to see you. Where can I go to meet you?
 At the gate of the park . ,At the park's entrance.
 Great . I look forward to meeting you . ,Great. I'm eagerly anticipating the chance to meet you.
 See you then . ,"Good luck, dear."
 See you . ,Good luck.
I hear that you've been to the Saikei Ski Resort for the weekend . Did you enjoy it ? ,Have you visited the Saikei Ski Resort this weekend? Was it a pleasure or did you just enjoy it?
" Yes , it's so exciting , though I had the most falls in our skiing team . ","It's exciting, even though I had the highest number of falls in my skiing team."
 Isn't there any coach to teach you how to ski ? ,Ski coach to teach you?
 Of course there is . The top-level coaches there are from the State Sports General Administration . ,The State Sports General Administration is the source of the top-notch coaches there.
 Could you move smoothly ? ,Can you make yourself move without any difficulty?
 Yes.My face even ached in the icy wind . ,"Yes, even in the cold wind, my face shivered and itched."
 What happened afterwards ? ,What transpired after the event?
 I was skiing on and on excitedly until I realized one thing-I could not stop ! You can just imagine how terrified I was . ,I was skiing happily all day when I suddenly realized something was wrong-I couldn't stop. It was such a terrifying experience.
 Poor girl ! ,"Poor poor lad, what happened to her poor poor girl?"
You look pale recently . ,You've appeared pale lately.
 Yeah . I have got much pressure in the company . I have tobe wrapped upon my work . ,I've been under a lot of pressure in the company. I need to be wrapped up at work.
 Take good care of yourself . ,Ensure that you are taking care of yourself.
 Thank you . I will . ,Thank you very much. I will do everything possible for you.
"Hey , Maggy , Did you hear about David ? ","Hi Maggy, did you know about David?"
" About David ? No , I didn ’ t hear anything . ","I didn't receive any communication from David, so I'm not sure if I can recall what he was up to."
" You know , about David and his new boss . ",David's new boss is the subject of discussion.
" Sorry , I don ’ t quite follow you . ",I'm not a follower of yours.
