Sentence,Paraphrase,Formal_10,Formal_15,Formal_20,Informal_10,Informal_15,Informal_20
The team responded to the changes in the next game the same evening on 19 February .,"The team reacted to the changes in the next game on 19 February, which was the same evening, by responding to the changes.","In the next game on 19 February, the team reacted to the changes by preparing for the following game.","In the next game on 19 February, the team reacted to the changes by preparing for the following game.","In the next game on 19 February, the team reacted to the changes by preparing for the following game.","The team acted immediately on the changes announced in the next game on 19 February evening, when the team returned home to play on 18 February.","The team acted immediately on the alteration nebulizers in the succeeding match on 19 February evening, and they reacted in response in advance for the game being played on 18 February.","The team ratcheted up the game on 19 February evening, in the next game, and the team immediately reacted to the changes."
"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .","Nashua Silver Knights, the collegiate team of the city, is part of a summer league team that participates in a current summer league.","A summer league that is part of a current summer team, the Nashua Silver Knights, is the collegiate team of the city.","A summer league that is part of a current summer team, the Nashua Silver Knights, is the collegiate team of the city.","A summer league that includes the Nashua Silver Knights, the collegiate basketball team of the city, is also a part of this thriving organization.","City-wide team Nashua Silver Knights is a team based in Nachua NH, collegiately. A member of ice hockey club Naha Silver, is part of the city's current summer league.",City collocutor Nashua is the team whose name is Na Shua Silver Knights and who plays in a summer league that is currently active.,"City collosion - Nashua Silver Knights – plays a summer league team, currently forming wing as part of 'a current summer League' sponsored by the city."
"The `` Fallbeil '' was used for the last time in West Germany in 1949 , in East Germany in 1966 .","West Germany used the  Fallbeil '' for the last time in 1949, while East Germany used it in 1966.","In 1949, West Germany used the  Fallbeil '' as its final form, while in 1966, East Germany reverted to it in East German.","In 1949, West Germany used the  Fallbeil '' as its final form, while in 1966, East Germany reverted to it in East German.","In 1949, West Germany used the  Fallbeil '' as its final form, while in 1966, East Germany reverted to it in East German.","The  Fallbeil '' was made famous in West Germany in 1949, while it was revived in East Germany a year later in 1966.","The  Belliferior '' was the final form of the song in West Germany in 1949, while it was used again in East Germany 1966.","Berlin saw the final occurrence of music called ""The  Fallbeil"" in 1949 (1966) - in East Germany -1969."
The canal is one of the oldest navigable canals in Europe and in Belgium .,The canal is among the oldest navigable canals in Europe and Belgium.,"In Europe and Belgium, the canal is one of the oldest navigable canals and it is situated in Belgium.","In Belgium, the canal is among the oldest in Europe and can be accessed by a paved or motorized pathway.","In Belgium, the canal is among the oldest in Europe and can be accessed by a paved or motorized pathway.","One of Europe's all-time longest navigable canals, the canal stretches across Belgium.","One of Europe's all-time longest navigable canals, the canal stretches across Belgium.","One of Europe's all-time longest navigable canals, the canal stretches across Belgium."
In 2009 he moved back to Philadelphia and lives in New York City today .,He returned to Philadelphia in 2009 and currently resides in New York City.,"In 2009, he returned to Philadelphia and currently resides in New York City.","In late 2009, he returned to Philadelphia and currently resides in New York City.","In late 2009, he returned to Philadelphia and currently resides in New York City.",He made the move back home in Philadelphia in 2009 and now lives in New York City.,He made the move all the way to Philadelphia in 2009 and now resides in New York City.,"He made the last post-office move in 2009 before moving back home to Philadelphia, where he currently lives in New York City."
"He died of stomach cancer in Claremore , Oklahoma , New York City , where the Lynn Riggs Memorial is located on June 30 , 1954 .","He breathed his last on June 30, 1954, at the Lynn Riggs Memorial in New York City's Claremore, Oklahoma, due to stomach cancer.","On June 30, 1954, he passed away due to stomach cancer in Claremore. Oklahoma – New York City — where the Lynn Riggs Memorial is located, in Newark, New Jersey.","In Claremore, Oklahoma, New York City - where the Lynn Riggs Memorial is located – he passed away on June 30 a year, 1954, from stomach cancer.","In Claremore, Oklahoma, New York City - where the Lynn Riggs Memorial is located – he passed away on June 30 a.m. on the night of June 30, 1954, from stomach cancer.","Ent stomach cancer swept him free in Claremore, Oklahoma - New York City – where the Lynn Riggs Memorial is located — and he passed away on June 30., 1954, in the town of Claramore, where a memorial was held for the missing man.","Ent stomach cancer proved fatal for him on 30 June 1954 in Claremore, Oklahoma - New York City – the only city in the country to have such a Lynn Riggs Memorial.","Ent stomach cancer proved fatal to him on 30 June 1954 in Claremore, Oklahoma - New York City – the only city in the country to have such a Lynn Riggs Memorial."
"Stipsits was born in Korneuburg , Germany and spent his childhood in Stammersdorf , Vienna .","Stipsits was born in Korneuburg, Germany, but spent his early life in Stammersdorf, Vienna.","Korneuburg, Germany, was the birthplace of Stipsits, who spent his early years in Stammersdorf. in Vienna.","Korneuburg, Germany, was the birthplace of Stipsits, who spent his early years in Stammersdorf. in Vienna.","Korneuburg, Germany, was Stipsits' alma mater, and he spent his early years in Stammersdorf, Vienna.","Born in Germany on November 19th, Stipsits was raised in Stammersdorf, Vienna and was born in Korneuburg.","Born Stefanitsits was originally from Korneuburg, Germany, but raised in Stammersdorf he lives in Vienna.","Born Stefanitsits (*1) in Korneuburg, Germany, hat heeft off in Stammersdorf - Vienna since the age of five."
The Keita dynasty ruled pre-imperial and imperial Mali from the 12th century into the early 17th century .,"Mali was under the control of the Keita dynasty, a ruling family that covered both pre-imperial and imperial regions, from the 12th century to the early 17th century.","From the 12th century to the early 17thcentury, the Keita dynasty governed Mali, which was previously an imperial and pre-imperial state, from the 11th to 16th centuries.","From the 12th century to the early 17thcentury, the Keita dynasty governed Mali, which was previously an imperial and pre-imperial state, from the 11th to 16th centuries.","From the 12th century to the early 17thcentury, the Keita dynasty governed Mali, which was previously an imperial and pre-imperial state, from the 11th to 16th centuries.","The first British king to rule pre-imperial Mali from the 12th century up to the early 17thcentury was the Keita dynasty, who ruled both pre–impérial and imperial countries from 1283 to 1763.",The first British king to rule pre-imperial Mali from the 12th century up to the early 17th count was the Keita dynasty.,The first British king to rule pre-imperial Mali from the 12th century up to the early 17th countdown lasted under the Keita dynasty from 1 December 1215 to 1 January 1716.
"`` Angel Eyes '' is a 1946 popular song composed by Matt Dennis , with lyrics by Earl Brent .","Matt Dennis composed Angel Eyes, a popular song from 1946, with lyrics by Earl Brent.","Matt Dennis wrote and performed the popular  Angel Eyes '', a 1946 popular song with lyrics by Earl Brent, for which the credit was awarded to Matt and which was credited to Earl Dennis.","A 1946 popular composition by Matt Dennis, based on the popular folk songs Angel Eyes by Earl Brent, was written by Richard Nixon and recorded in the same 1946 release, with lyrics by Robert Reese.","A 1946 popular popular line-drawing by Matt Dennis, a folk-oriented composition by songwriter Matt Donnelly, and lyrics by Earl Brent, is known as "" Angel Eyes ''.""",Angel Eyes was written by Matt Dennis in 1946 as a popular song. The lyrics were written for Earl Brent.,Angel Eyes was recorded by Matt Dennis in 1946 as a popular song. It was written by Earl Brent and is based on the song Angel eyes from 1946.,"Angel Eyed starring Matt Dennis (1946) is credited as Angel eyes #1, a popular song from 1946, written by Earl Brent."
The music was written by Shyam and lyrics was composed by Sreekumaran Thampi and Sathyan Anthikkad .,Shyam was the writer of the song and the lyrics were written by Sreekumaran Thampi and Sathyan Anthikkad.,"Shyam was responsible for the writing of the music, and Sreekumaran Thampi and Sathyan Anthikkad were the authors of both the lyrics.","Shyam was responsible for the writing of the music, and Sreekumaran Thampi and Sathyan Anthikkad were the authors of both the lyrics and the song.",Sh.am was responsible for composing the music and the lyrics were by Sreekumaran Thampi and Sathyan Anthikkad.,"Songwriting by Shyam, lyrics composed by Sreekumaran Thampi and lyrics by Sathyan Anthikkad.",Song was composed by Shyam with lyrics written by Sreekumaran Thampi and lyrics by Sathyan Anthikkad.,Song was composed by Shyam with lyrics written by Sreekumaran Thampi and lyrics by singer Sathyan Anthikkad.
"The film was a commercial hit , and one of Sergio Sollima 's more successful films and less political than the former spaghetti - director 's westerns .","The movie was a commercial success and one of Sergio Sollima's more successful films, despite being more politically charged than the previous spaghetti-filled westerns produced by other directors.","Among the more successful and less political films directed by Sergio Sollima compared to the former spaghetti westerns directed for the CIA, the film was a commercial success.","Among the more successful and less political films directed by Sergio Sollima compared to the former spaghetti westerns directed for the CIA, the film was a commercial success.","Among the more successful and less political films directed by Sergio Sollima compared to the former spaghetti westerns directed for the CIA, the film was a commercial success.","One of Sergio Sollima's most successful films, it was a commercial success and was much cheaper than the westerns made by his previous company.","One of only ten Sergio Sollima's more successful films - and not the political thriller that had become a spaghetti western starring Tom Hardy & J.K. Rowling '07, the film was.",One of only ten Sergio Sollima's more successful films - he said it was 'quite successful' and a slam dubbed version of his more politically correct and successful film than the spaghetti westerns of the late 1950s and early ’50s.
Kabir asks Sarika to reveal his plan to end Ranvir 's game .,Kabir requests Sarika to disclose his plan to end Ranvir's game.,Kabir requests Sarika to disclose his plan to end Ranvir's match against his opponent.,Kabir requests Sarika to disclose his plan to end Ranvir's match against his current team.,Kabir requests Sarika to disclose his plan to end Ranvir's match against the current team.,Ranvir won't play anymore - Kabir asks Sarika if she can tell him that Sarikan is the one responsible for ending RanVir's game.,"Ranvir won the game, and Kabir asks Sarika if she can reveal Sarikan's plan to end the match.","Ranvir won the game, and Kabir asks Sarika if she can tell him that he will stop playing."
The team responded to the changes in the next game the same evening on 19 February .,"The team reacted to the changes in the next game on 19 February, which was the same evening, by responding to the changes.","In the next game on 19 February, the team reacted to the changes by preparing for the following game.","In the next game on 19 February, the team reacted to the changes by preparing for the following game.","In the next game on 19 February, the team reacted to the changes by preparing for the following game.","The team acted immediately on the changes announced in the next game on 19 February evening, when the team returned home to play on 18 February.","The team acted immediately on the alteration nebulizers in the succeeding match on 19 February evening, and they reacted in response in advance for the game being played on 18 February.","The team ratcheted up the game on 19 February evening, in the next game, and the team immediately reacted to the changes."
"Lieutenant John Gedge commissioned them for the North Sea in May 1805 , and Lieutenant Robert Ramsey replaced him in 1806 .","Lieutenant John Gedge commissioned them to sail in the North Sea in May 1805, and Lieutenant Robert Ramsey took over in 1806.","Lieutenant John Gedge commissioned them to serve in the North Sea in May 1805, and Lieutenant Robert Ramsey took over in 1806.","Lieutenant John Gedge commissioned them to serve in the North Sea in May 1805, and Lieutenant Robert Ramsey took over in 1806.","In May 1805, Lieutenant John Gedge enlisted them in the North Sea, and they were commissioned in May 1860, but in 1806 they had Lieutenant Robert Ramsey to fill in, after being re-commissioned by Lieutenant Gledge.",Captain Lewis Hamilton enlisted them in May 1805 based on Lieutenant John Gedge's command - they were sent to the North Sea — Captain Johngedge was commissioned in April 1807 – and Lieutenant Robert Ramsey succeeded him in 1806.,"Captain Lewis Hamilton enlisted them in July 1805, receiving a commission from Lieutenant John Gedge based in the North Sea in May 1807. Lieutenant Robert Ramsey succeeded him in 1806.","Captain Lewis Hamilton had landed them in the North Sea in May 1805, a vessel commissioned by Lieutenant John Gedge.Rentford Ramsey, Lieutenant Robert Ramsey logged in 1806."
Emma Townshend is represented by David Godwin at DGA Associates .,"David Godwin, of DGA Associates, is the legal representative for Emma Townshend, who is represented by Emma Townshend.","DGA Associates is the representative for Emma Townshend, who is represented by David Godwin.","DGA Associates is the representative for Emma Townshend, who is represented by David Godwin.","DGA Associates is the representative for Emma Townshend, who is represented by David Godwin.",David Godwin representing Emma Townshend is working with DGA Associates.,David Godwin representing Emma Townshend is working with DGA Associates.,"David Godwin representing Emma Townshend is on full-time clientele at DGA Associates, London based firm."
"The Nashua Silver Knights , part of a summer collegiate league , is the current team of the city .","Nashua Silver Knights, the current team of the city, is a summer collegiate league in which they compete, and they are based within the city.","A summer collegiate league includes the Nashua Silver Knights, the current team of the city.","A summer collegiate league includes the Nashua Silver Knights, the current varsity team of the city.","A summer collegiate league includes the current Nashua Silver Knights, who are the city's current team.","City team is the Nashua Silver Knights, a team based out of Nadu, New Hampshire, playing in statewide summer collegiate leagues.","City team is the Nashua Silver Knights, a team dominated by students, currently playing in collegiate leagues during summer.","City team is the Nashua Silver Knights, based out of Nadu, New Hampshire, playing in a summer collegiate league."
"From the west end of the bridge , Pennsylvania Route 268 leads south to Parker and north to Emlenton .","Pennsylvania Route 268 travels from the west end of the bridge to south across the city's south end point (Pennis Pass) and north across the city to Emlenton on Route 268 (Sinterlee, part of the Delaware en route).",Pennsylvania Route 268 travels from the west end of the bridge to south across the state to Parker and north across Emlenton on Route 295.,"Pennsylvania Route 268 travels to Parker in the south, Emlenton in North Carolina, and Route 288, from the west end of the bridge, at the western end.","Pennsylvania Route 268 travels to Parker in the southwest, Emlenton in Thefton on the north, and Route 138 on Route 218, which runs from the west end of the bridge to the east.","Running from west end to Parker on Pennsylvania Route 268, it passes over Penn Station and Headlands Airport, heading south before reaching Emlenton along the east side.","Running 100 from the west end of the bridge, Pennsylvania Route 268 goes south to Parker and north to Emlenton, passing through the city at the western end.","Running 100 from the west end of the bridge, Pennsylvania Route 268 goes south to Parker and north to Emlenton, passing through the city at the western end."
"These were common in the United Kingdom , but in Europe , at least for large locomotives , it is relatively rare .","In the United Kingdom, it was typical to see these types of locomotives, but in Europe, they are not often seen, particularly on large locomotives.","In the United Kingdom, these were a common sight, but in Europe, they are relatively uncommon for large locomotives.","In the United Kingdom, these were a regular occurrence, but in Europe, for large locomotives, it is relatively uncommon.","In the United Kingdom, these were a regular occurrence, but in Europe, for large locomotives, it is relatively uncommon.","Large locomotives are in Europe, where it is a rare occurrence – in the United Kingdom, for example, whereas in Britain, these were commonplace on ice in 1838.","Big locomotives are in Europe, a rarity compared to these common examples in the United Kingdom.","Big locomotives are in Europe, a rarity compared to these common examples already seen in the United Kingdom, but in trains built specifically for these types of locomotive, it is still incredibly common in European locomotive engines."
"Alston was born on December 21 , 1965 in Oxon Hill , Maryland . He attended Oxon Hill High School in New Haven , Connecticut .","Alston was born on December 21, 1965, in Oxon Hill, Maryland, and attended Oxon Hill High School in New Haven, Connecticut.","Alston was a high school student at Oxon Hill High School in New Haven, Connecticut. He was born on December 21, 1965, in Oxen Hill. Maryland.","Alston was a high school largist at Oxon Hill High School in New Haven, Connecticut. He was born on December 21, 1965, in Oxen Hill. Maryland ; he went on to study at the nearby University of Maryland in Dartmouth, Lansing & Newington Upon Narrows, before moving to Yale and deciding on his own education.","Alston was a high-school junior at Oxon Hill High School in New Haven, Connecticut. He was born in Oxen Hill, Maryland on December 21st, 1965.","Born on December 21, 1965 in Oxon Hill. Maryland ; he graduated from Oxen Hill High School in New Haven!, Connecticut, Alston was a student at the age of 19-26 and graduated on June 21st, 1985.","Born on December 21,65 in Oxon Hill. Maryland ; he graduated high school in New Haven! on the year 21 December 1965. Alston is a student enrolled at Oxo Hill High School in the town of Newington, Connecticut.","Born on 21 December 1965 outside of Rockwell / Oxon Hill HS in New Haven, Connecticut, Alston is a student at Oxo Hill High School, Newborn, Maryland."
"Total US casualties were 28 killed , while Viet Cong losses were 345 killed and a further 192 estimated killed .","The US suffered a total of 28 casualties, with the Viet Cong losing 345 soldiers and 192 men, and in the USSR losing 192 soldiers.",Despite the fact that the US suffered 28 fatalities in the armed forces and the Viet Cong suffered 345 and 192 fatal casualties.,Despite the fact that the US suffered 28 fatalities in the armed forces and the Viet Cong suffered 345 and 192 fatal casualties.,"Besides the reported 192 deaths in the Viet Cong, there were also 345 fatalities and 348 fatalties in total, resulting in a total of 28 US casualties.","UNFORCE reported 28 US deaths - 28 fatalities & 345 deaths in the Viet Cong, 192 fatal and estimated casualties.","UNFORCE was awarded CERTAIN SASC casualties medallions on 29 aviators and 265 super-routines, making it the first time in the history of the United States military to be killed in combat.","UNFRED confirmed 186 fatalities in all theaters of warfare worldwide, including 28 American and 345 Viet Cong casualties, as well as an estimated 192 killed in action in China."
"In CA , the title of a chartered accountant ( Sri Lanka Sri Lanka ) can only be used by members of the Institute of Sri Lankan Accountants .",Only Institute of Sri Lankan Accountants members are allowed to use the title of chartered accountant (Sri Lankan) in CA.,"In CA, the term chartered accountant ( Sri Lanka Srilanlani) is reserved for Institute of SriLanak Accountants members only.","In CA, the term chartered accountant ( Sri Lanka Srilanlani) is reserved for Institute of SriLanak Accountants members only.","In CA, the term chartered accountant ( Sri Lanka Srilanlani) is reserved for Institute of SriLanak Accountants members and is not used by any other entity besides the BSI.",Only Institute of Sri Lankan Accountants members are allowed to use the title Sri Srilanakischer Chartered Accountant (SCLC) in CA.,Only Institute of Sri Lankan Accountants graduates are allowed to use the title Sri Srikanta (SCB) - chartered accountant – in CA.,Only Institute of Sri Lankan accountants registered members are allowed to use Certified accountant ( Srilanka Sri Lanka ) title in CA (CA) in SriLand.
"Simyo belongs to the Dutch telecommunications group KPN , after acquisition of the remainder of E-Plus on March 14 .","The remaining E-Plus shares were acquired by Simyo, a subsidiary of KPN from the Netherlands, on March 14, following the acquisition of the rest of the E-Plus.","On March 14, the remaining E-Plus shares were acquired by Simyo, a subsidiary of KPN from the Netherlands, who then proceeded to acquire the rest of the E–Plus network on March 14.","After acquiring the remaining E-Plus, Simyo, a subsidiary of KPN from the Netherlands, made shipments on March 14.","Following the acquisition of the remaining E-Plus shares on March 14, Simyo, a subsidiary of KPN from the Netherlands, eventually acquired the rest of E.Plus.","SimYo made a profit on March 14, after acquiring the entire E-Plus share, and is now marketed by the Dutch telecommunications group KPN.","SimYo purchased the entire E-Plus product on March 14, following its acquisition by KPN, a Dutch telecommunications company, on the same day as Simyo.","SimYo completed the purchase of E-Plus on March 14, after transferring ownership to KPN, a Dutch telecommunications company, and completing the acquisition of the remaining shares on the same day."
"Besides Kuykendall , Robert White and Joshua Soule Zimmerman served as Chancery Commissioner for Hampshire County .","Robert White and Joshua Soule Zimmerman were the Chancery Commissioner for Hampshire County, in addition to Kuykendall.","In addition to Kuykendall, Robert White and Joshua Soule Zimmerman were responsible for the duties of Chancery Commissioner for Hampshire County, in addition of Kuyingdal.","In addition to Kuykendall, Robert White and Joshua Soule Zimmerman were responsible for the duties of Chancery Commissioner for Hampshire County, in addition of Kuyingdal.","In addition to Kuykendall, Robert White and Joshua Soule Zimmerman were responsible for the duties of Chancery Commissioner for Hampshire County, in addition of Kuyingdal.","The Zimmerman couple played a major role in Sheffield City Hall – they were the only ones to hold the position of Chancery Commissioner for Hampshire County, in addition to Kuykendall - Robert White and Joshua Soule Zimmermann.","The Zimmerman couple played a major role in Sheffield City Hall – Robert White and Joshua Soule were the only ones in the county to have served as Chancery Commissioner for Hampshire County, in addition to Kuykendall - for ten years.","The Zimmerman couple played a major game in Kuykendall, and Robert White and Joshua Soule Zimmermann was the Chancery Commissioner for Hampshire County, in addition to Kuytondor."
"These views were often expressed during the emergence of Protestant , Puritan and Evangelical movements .","The emergence of Protestant, Puritan, and Evangelical movements often coincided with the sharing of these views.","These views were frequently expressed during the emergence of Protestant, Puritan  and Evangelical movements.","These views were frequently expressed during the emergence of Protestant, Puritan  and Evangelical movements.","These views were frequently expressed during the emergence of Protestant, Puritan  and Evangelical movements.","The fusionist, Puritan and Evangelical axes combined forces once again captured the public's fervor for such beliefs, which were widely circulated during the rise of Protestant., Puritanism and the 'Evangelick' and later European ""ideas"" in which everything was defended by the majority.","The fusionist, Puritan and Evangelical axes combined forces once again captured the public's fervor for holding these ideals, which were widely circulated during the rise of Protestant., Puritanism and the 'Evangelick' and later European clerics.","Many people embracing orthodox Protestantism, Puritanismanship and evangelicalisement saw this polémiqueque erupting glories amidst church building booms and busts as seen in the rise of Protestant."
